Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
1,22.0,CartPole-v1,100000.0,0.0005,0.99,3
2,29.0,CartPole-v1,100000.0,0.0005,0.99,3
3,12.0,CartPole-v1,100000.0,0.0005,0.99,3
4,17.0,CartPole-v1,100000.0,0.0005,0.99,3
5,16.0,CartPole-v1,100000.0,0.0005,0.99,3
6,15.0,CartPole-v1,100000.0,0.0005,0.99,3
7,14.0,CartPole-v1,100000.0,0.0005,0.99,3
8,31.0,CartPole-v1,100000.0,0.0005,0.99,3
9,32.0,CartPole-v1,100000.0,0.0005,0.99,3
10,16.0,CartPole-v1,100000.0,0.0005,0.99,3
11,15.0,CartPole-v1,100000.0,0.0005,0.99,3
12,18.0,CartPole-v1,100000.0,0.0005,0.99,3
13,15.0,CartPole-v1,100000.0,0.0005,0.99,3
14,19.0,CartPole-v1,100000.0,0.0005,0.99,3
15,107.0,CartPole-v1,100000.0,0.0005,0.99,3
16,20.0,CartPole-v1,100000.0,0.0005,0.99,3
17,33.0,CartPole-v1,100000.0,0.0005,0.99,3
18,15.0,CartPole-v1,100000.0,0.0005,0.99,3
19,28.0,CartPole-v1,100000.0,0.0005,0.99,3
20,16.0,CartPole-v1,100000.0,0.0005,0.99,3
21,17.0,CartPole-v1,100000.0,0.0005,0.99,3
22,45.0,CartPole-v1,100000.0,0.0005,0.99,3
23,26.0,CartPole-v1,100000.0,0.0005,0.99,3
24,15.0,CartPole-v1,100000.0,0.0005,0.99,3
25,22.0,CartPole-v1,100000.0,0.0005,0.99,3
26,38.0,CartPole-v1,100000.0,0.0005,0.99,3
27,21.0,CartPole-v1,100000.0,0.0005,0.99,3
28,35.0,CartPole-v1,100000.0,0.0005,0.99,3
29,55.0,CartPole-v1,100000.0,0.0005,0.99,3
30,15.0,CartPole-v1,100000.0,0.0005,0.99,3
31,35.0,CartPole-v1,100000.0,0.0005,0.99,3
32,14.0,CartPole-v1,100000.0,0.0005,0.99,3
33,19.0,CartPole-v1,100000.0,0.0005,0.99,3
34,25.0,CartPole-v1,100000.0,0.0005,0.99,3
35,40.0,CartPole-v1,100000.0,0.0005,0.99,3
36,13.0,CartPole-v1,100000.0,0.0005,0.99,3
37,35.0,CartPole-v1,100000.0,0.0005,0.99,3
38,14.0,CartPole-v1,100000.0,0.0005,0.99,3
39,28.0,CartPole-v1,100000.0,0.0005,0.99,3
40,31.0,CartPole-v1,100000.0,0.0005,0.99,3
41,13.0,CartPole-v1,100000.0,0.0005,0.99,3
42,20.0,CartPole-v1,100000.0,0.0005,0.99,3
43,24.0,CartPole-v1,100000.0,0.0005,0.99,3
44,14.0,CartPole-v1,100000.0,0.0005,0.99,3
45,22.0,CartPole-v1,100000.0,0.0005,0.99,3
46,13.0,CartPole-v1,100000.0,0.0005,0.99,3
47,57.0,CartPole-v1,100000.0,0.0005,0.99,3
48,17.0,CartPole-v1,100000.0,0.0005,0.99,3
49,34.0,CartPole-v1,100000.0,0.0005,0.99,3
50,14.0,CartPole-v1,100000.0,0.0005,0.99,3
51,20.0,CartPole-v1,100000.0,0.0005,0.99,3
52,22.0,CartPole-v1,100000.0,0.0005,0.99,3
53,22.0,CartPole-v1,100000.0,0.0005,0.99,3
54,13.0,CartPole-v1,100000.0,0.0005,0.99,3
55,15.0,CartPole-v1,100000.0,0.0005,0.99,3
56,16.0,CartPole-v1,100000.0,0.0005,0.99,3
57,30.0,CartPole-v1,100000.0,0.0005,0.99,3
58,13.0,CartPole-v1,100000.0,0.0005,0.99,3
59,15.0,CartPole-v1,100000.0,0.0005,0.99,3
60,15.0,CartPole-v1,100000.0,0.0005,0.99,3
61,25.0,CartPole-v1,100000.0,0.0005,0.99,3
62,13.0,CartPole-v1,100000.0,0.0005,0.99,3
63,28.0,CartPole-v1,100000.0,0.0005,0.99,3
64,12.0,CartPole-v1,100000.0,0.0005,0.99,3
65,23.0,CartPole-v1,100000.0,0.0005,0.99,3
66,20.0,CartPole-v1,100000.0,0.0005,0.99,3
67,34.0,CartPole-v1,100000.0,0.0005,0.99,3
68,11.0,CartPole-v1,100000.0,0.0005,0.99,3
69,28.0,CartPole-v1,100000.0,0.0005,0.99,3
70,66.0,CartPole-v1,100000.0,0.0005,0.99,3
71,17.0,CartPole-v1,100000.0,0.0005,0.99,3
72,42.0,CartPole-v1,100000.0,0.0005,0.99,3
73,19.0,CartPole-v1,100000.0,0.0005,0.99,3
74,15.0,CartPole-v1,100000.0,0.0005,0.99,3
75,65.0,CartPole-v1,100000.0,0.0005,0.99,3
76,42.0,CartPole-v1,100000.0,0.0005,0.99,3
77,14.0,CartPole-v1,100000.0,0.0005,0.99,3
78,22.0,CartPole-v1,100000.0,0.0005,0.99,3
79,17.0,CartPole-v1,100000.0,0.0005,0.99,3
80,13.0,CartPole-v1,100000.0,0.0005,0.99,3
81,54.0,CartPole-v1,100000.0,0.0005,0.99,3
82,17.0,CartPole-v1,100000.0,0.0005,0.99,3
83,13.0,CartPole-v1,100000.0,0.0005,0.99,3
84,30.0,CartPole-v1,100000.0,0.0005,0.99,3
85,15.0,CartPole-v1,100000.0,0.0005,0.99,3
86,15.0,CartPole-v1,100000.0,0.0005,0.99,3
87,28.0,CartPole-v1,100000.0,0.0005,0.99,3
88,9.0,CartPole-v1,100000.0,0.0005,0.99,3
89,26.0,CartPole-v1,100000.0,0.0005,0.99,3
90,11.0,CartPole-v1,100000.0,0.0005,0.99,3
91,29.0,CartPole-v1,100000.0,0.0005,0.99,3
92,12.0,CartPole-v1,100000.0,0.0005,0.99,3
93,64.0,CartPole-v1,100000.0,0.0005,0.99,3
94,13.0,CartPole-v1,100000.0,0.0005,0.99,3
95,13.0,CartPole-v1,100000.0,0.0005,0.99,3
96,11.0,CartPole-v1,100000.0,0.0005,0.99,3
97,22.0,CartPole-v1,100000.0,0.0005,0.99,3
98,14.0,CartPole-v1,100000.0,0.0005,0.99,3
99,42.0,CartPole-v1,100000.0,0.0005,0.99,3
100,13.0,CartPole-v1,100000.0,0.0005,0.99,3
101,25.0,CartPole-v1,100000.0,0.0005,0.99,3
102,15.0,CartPole-v1,100000.0,0.0005,0.99,3
103,15.0,CartPole-v1,100000.0,0.0005,0.99,3
104,22.0,CartPole-v1,100000.0,0.0005,0.99,3
105,26.0,CartPole-v1,100000.0,0.0005,0.99,3
106,13.0,CartPole-v1,100000.0,0.0005,0.99,3
107,16.0,CartPole-v1,100000.0,0.0005,0.99,3
108,18.0,CartPole-v1,100000.0,0.0005,0.99,3
109,9.0,CartPole-v1,100000.0,0.0005,0.99,3
110,35.0,CartPole-v1,100000.0,0.0005,0.99,3
111,20.0,CartPole-v1,100000.0,0.0005,0.99,3
112,19.0,CartPole-v1,100000.0,0.0005,0.99,3
113,17.0,CartPole-v1,100000.0,0.0005,0.99,3
114,16.0,CartPole-v1,100000.0,0.0005,0.99,3
115,20.0,CartPole-v1,100000.0,0.0005,0.99,3
116,18.0,CartPole-v1,100000.0,0.0005,0.99,3
117,22.0,CartPole-v1,100000.0,0.0005,0.99,3
118,11.0,CartPole-v1,100000.0,0.0005,0.99,3
119,25.0,CartPole-v1,100000.0,0.0005,0.99,3
120,15.0,CartPole-v1,100000.0,0.0005,0.99,3
121,14.0,CartPole-v1,100000.0,0.0005,0.99,3
122,20.0,CartPole-v1,100000.0,0.0005,0.99,3
123,17.0,CartPole-v1,100000.0,0.0005,0.99,3
124,10.0,CartPole-v1,100000.0,0.0005,0.99,3
125,9.0,CartPole-v1,100000.0,0.0005,0.99,3
