Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
1,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
2,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
3,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
4,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
5,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
6,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
7,22.0,CartPole-v1,100000.0,0.0001,0.99,5,7
8,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
9,11.0,CartPole-v1,100000.0,0.0001,0.99,5,7
10,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
11,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
12,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
13,11.0,CartPole-v1,100000.0,0.0001,0.99,5,7
14,57.0,CartPole-v1,100000.0,0.0001,0.99,5,7
15,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
16,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
17,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
18,22.0,CartPole-v1,100000.0,0.0001,0.99,5,7
19,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
20,24.0,CartPole-v1,100000.0,0.0001,0.99,5,7
21,19.0,CartPole-v1,100000.0,0.0001,0.99,5,7
22,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
23,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
24,25.0,CartPole-v1,100000.0,0.0001,0.99,5,7
25,10.0,CartPole-v1,100000.0,0.0001,0.99,5,7
26,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
27,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
28,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
29,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
30,25.0,CartPole-v1,100000.0,0.0001,0.99,5,7
31,34.0,CartPole-v1,100000.0,0.0001,0.99,5,7
32,24.0,CartPole-v1,100000.0,0.0001,0.99,5,7
33,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
34,52.0,CartPole-v1,100000.0,0.0001,0.99,5,7
35,10.0,CartPole-v1,100000.0,0.0001,0.99,5,7
36,10.0,CartPole-v1,100000.0,0.0001,0.99,5,7
37,32.0,CartPole-v1,100000.0,0.0001,0.99,5,7
38,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
39,22.0,CartPole-v1,100000.0,0.0001,0.99,5,7
40,31.0,CartPole-v1,100000.0,0.0001,0.99,5,7
41,29.0,CartPole-v1,100000.0,0.0001,0.99,5,7
42,36.0,CartPole-v1,100000.0,0.0001,0.99,5,7
43,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
44,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
45,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
46,35.0,CartPole-v1,100000.0,0.0001,0.99,5,7
47,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
48,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
49,19.0,CartPole-v1,100000.0,0.0001,0.99,5,7
50,26.0,CartPole-v1,100000.0,0.0001,0.99,5,7
51,19.0,CartPole-v1,100000.0,0.0001,0.99,5,7
52,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
53,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
54,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
55,19.0,CartPole-v1,100000.0,0.0001,0.99,5,7
56,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
57,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
58,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
59,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
60,33.0,CartPole-v1,100000.0,0.0001,0.99,5,7
61,28.0,CartPole-v1,100000.0,0.0001,0.99,5,7
62,28.0,CartPole-v1,100000.0,0.0001,0.99,5,7
63,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
64,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
65,19.0,CartPole-v1,100000.0,0.0001,0.99,5,7
66,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
67,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
68,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
69,9.0,CartPole-v1,100000.0,0.0001,0.99,5,7
70,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
71,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
72,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
73,27.0,CartPole-v1,100000.0,0.0001,0.99,5,7
74,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
75,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
76,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
77,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
78,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
79,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
80,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
81,11.0,CartPole-v1,100000.0,0.0001,0.99,5,7
82,25.0,CartPole-v1,100000.0,0.0001,0.99,5,7
83,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
84,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
85,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
86,28.0,CartPole-v1,100000.0,0.0001,0.99,5,7
87,32.0,CartPole-v1,100000.0,0.0001,0.99,5,7
88,19.0,CartPole-v1,100000.0,0.0001,0.99,5,7
89,11.0,CartPole-v1,100000.0,0.0001,0.99,5,7
90,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
91,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
92,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
93,9.0,CartPole-v1,100000.0,0.0001,0.99,5,7
94,10.0,CartPole-v1,100000.0,0.0001,0.99,5,7
95,32.0,CartPole-v1,100000.0,0.0001,0.99,5,7
96,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
97,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
98,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
99,45.0,CartPole-v1,100000.0,0.0001,0.99,5,7
100,17.0,CartPole-v1,100000.0,0.0001,0.99,5,7
101,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
102,10.0,CartPole-v1,100000.0,0.0001,0.99,5,7
103,13.0,CartPole-v1,100000.0,0.0001,0.99,5,7
104,14.0,CartPole-v1,100000.0,0.0001,0.99,5,7
105,23.0,CartPole-v1,100000.0,0.0001,0.99,5,7
106,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
107,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
108,10.0,CartPole-v1,100000.0,0.0001,0.99,5,7
109,20.0,CartPole-v1,100000.0,0.0001,0.99,5,7
110,16.0,CartPole-v1,100000.0,0.0001,0.99,5,7
111,11.0,CartPole-v1,100000.0,0.0001,0.99,5,7
112,12.0,CartPole-v1,100000.0,0.0001,0.99,5,7
113,18.0,CartPole-v1,100000.0,0.0001,0.99,5,7
114,15.0,CartPole-v1,100000.0,0.0001,0.99,5,7
