Episode,Episode Score,Environment,Max Episodes,Seed
152,19.0,CartPole-v1,100000.0,9
153,50.0,CartPole-v1,100000.0,9
154,14.0,CartPole-v1,100000.0,9
155,21.0,CartPole-v1,100000.0,9
156,11.0,CartPole-v1,100000.0,9
157,12.0,CartPole-v1,100000.0,9
158,13.0,CartPole-v1,100000.0,9
159,17.0,CartPole-v1,100000.0,9
160,14.0,CartPole-v1,100000.0,9
161,11.0,CartPole-v1,100000.0,9
162,16.0,CartPole-v1,100000.0,9
163,14.0,CartPole-v1,100000.0,9
164,13.0,CartPole-v1,100000.0,9
165,17.0,CartPole-v1,100000.0,9
166,19.0,CartPole-v1,100000.0,9
167,22.0,CartPole-v1,100000.0,9
168,36.0,CartPole-v1,100000.0,9
169,24.0,CartPole-v1,100000.0,9
170,31.0,CartPole-v1,100000.0,9
171,39.0,CartPole-v1,100000.0,9
172,23.0,CartPole-v1,100000.0,9
173,11.0,CartPole-v1,100000.0,9
174,60.0,CartPole-v1,100000.0,9
175,13.0,CartPole-v1,100000.0,9
176,17.0,CartPole-v1,100000.0,9
177,33.0,CartPole-v1,100000.0,9
178,13.0,CartPole-v1,100000.0,9
179,14.0,CartPole-v1,100000.0,9
180,27.0,CartPole-v1,100000.0,9
181,34.0,CartPole-v1,100000.0,9
182,15.0,CartPole-v1,100000.0,9
183,23.0,CartPole-v1,100000.0,9
184,15.0,CartPole-v1,100000.0,9
185,15.0,CartPole-v1,100000.0,9
186,9.0,CartPole-v1,100000.0,9
187,28.0,CartPole-v1,100000.0,9
188,18.0,CartPole-v1,100000.0,9
189,16.0,CartPole-v1,100000.0,9
190,17.0,CartPole-v1,100000.0,9
191,24.0,CartPole-v1,100000.0,9
192,28.0,CartPole-v1,100000.0,9
193,14.0,CartPole-v1,100000.0,9
194,26.0,CartPole-v1,100000.0,9
195,28.0,CartPole-v1,100000.0,9
196,34.0,CartPole-v1,100000.0,9
197,12.0,CartPole-v1,100000.0,9
198,23.0,CartPole-v1,100000.0,9
199,50.0,CartPole-v1,100000.0,9
200,11.0,CartPole-v1,100000.0,9
201,22.0,CartPole-v1,100000.0,9
202,10.0,CartPole-v1,100000.0,9
203,19.0,CartPole-v1,100000.0,9
204,30.0,CartPole-v1,100000.0,9
205,26.0,CartPole-v1,100000.0,9
206,40.0,CartPole-v1,100000.0,9
207,20.0,CartPole-v1,100000.0,9
208,10.0,CartPole-v1,100000.0,9
209,18.0,CartPole-v1,100000.0,9
210,40.0,CartPole-v1,100000.0,9
211,14.0,CartPole-v1,100000.0,9
212,32.0,CartPole-v1,100000.0,9
213,15.0,CartPole-v1,100000.0,9
214,9.0,CartPole-v1,100000.0,9
215,26.0,CartPole-v1,100000.0,9
216,22.0,CartPole-v1,100000.0,9
217,14.0,CartPole-v1,100000.0,9
218,49.0,CartPole-v1,100000.0,9
219,41.0,CartPole-v1,100000.0,9
220,10.0,CartPole-v1,100000.0,9
221,73.0,CartPole-v1,100000.0,9
222,16.0,CartPole-v1,100000.0,9
223,37.0,CartPole-v1,100000.0,9
224,12.0,CartPole-v1,100000.0,9
225,30.0,CartPole-v1,100000.0,9
226,19.0,CartPole-v1,100000.0,9
227,38.0,CartPole-v1,100000.0,9
228,15.0,CartPole-v1,100000.0,9
229,17.0,CartPole-v1,100000.0,9
230,13.0,CartPole-v1,100000.0,9
231,27.0,CartPole-v1,100000.0,9
232,22.0,CartPole-v1,100000.0,9
233,42.0,CartPole-v1,100000.0,9
234,19.0,CartPole-v1,100000.0,9
235,28.0,CartPole-v1,100000.0,9
236,19.0,CartPole-v1,100000.0,9
237,12.0,CartPole-v1,100000.0,9
238,23.0,CartPole-v1,100000.0,9
239,42.0,CartPole-v1,100000.0,9
240,14.0,CartPole-v1,100000.0,9
241,15.0,CartPole-v1,100000.0,9
242,18.0,CartPole-v1,100000.0,9
243,14.0,CartPole-v1,100000.0,9
244,28.0,CartPole-v1,100000.0,9
245,56.0,CartPole-v1,100000.0,9
246,21.0,CartPole-v1,100000.0,9
247,20.0,CartPole-v1,100000.0,9
248,81.0,CartPole-v1,100000.0,9
249,13.0,CartPole-v1,100000.0,9
250,13.0,CartPole-v1,100000.0,9
251,15.0,CartPole-v1,100000.0,9
252,15.0,CartPole-v1,100000.0,9
253,19.0,CartPole-v1,100000.0,9
254,14.0,CartPole-v1,100000.0,9
255,16.0,CartPole-v1,100000.0,9
256,16.0,CartPole-v1,100000.0,9
257,26.0,CartPole-v1,100000.0,9
258,27.0,CartPole-v1,100000.0,9
259,19.0,CartPole-v1,100000.0,9
260,14.0,CartPole-v1,100000.0,9
261,40.0,CartPole-v1,100000.0,9
262,17.0,CartPole-v1,100000.0,9
263,10.0,CartPole-v1,100000.0,9
264,20.0,CartPole-v1,100000.0,9
265,20.0,CartPole-v1,100000.0,9
266,22.0,CartPole-v1,100000.0,9
267,12.0,CartPole-v1,100000.0,9
268,12.0,CartPole-v1,100000.0,9
269,28.0,CartPole-v1,100000.0,9
270,29.0,CartPole-v1,100000.0,9
271,19.0,CartPole-v1,100000.0,9
272,27.0,CartPole-v1,100000.0,9
273,15.0,CartPole-v1,100000.0,9
274,17.0,CartPole-v1,100000.0,9
275,10.0,CartPole-v1,100000.0,9
276,12.0,CartPole-v1,100000.0,9
277,14.0,CartPole-v1,100000.0,9
278,19.0,CartPole-v1,100000.0,9
279,11.0,CartPole-v1,100000.0,9
280,15.0,CartPole-v1,100000.0,9
281,26.0,CartPole-v1,100000.0,9
282,35.0,CartPole-v1,100000.0,9
283,12.0,CartPole-v1,100000.0,9
284,24.0,CartPole-v1,100000.0,9
285,19.0,CartPole-v1,100000.0,9
286,23.0,CartPole-v1,100000.0,9
287,12.0,CartPole-v1,100000.0,9
288,22.0,CartPole-v1,100000.0,9
289,17.0,CartPole-v1,100000.0,9
290,10.0,CartPole-v1,100000.0,9
291,10.0,CartPole-v1,100000.0,9
292,10.0,CartPole-v1,100000.0,9
293,37.0,CartPole-v1,100000.0,9
294,16.0,CartPole-v1,100000.0,9
295,14.0,CartPole-v1,100000.0,9
296,17.0,CartPole-v1,100000.0,9
297,17.0,CartPole-v1,100000.0,9
298,18.0,CartPole-v1,100000.0,9
299,12.0,CartPole-v1,100000.0,9
300,17.0,CartPole-v1,100000.0,9
301,24.0,CartPole-v1,100000.0,9
302,18.0,CartPole-v1,100000.0,9
303,20.0,CartPole-v1,100000.0,9
304,15.0,CartPole-v1,100000.0,9
305,14.0,CartPole-v1,100000.0,9
306,21.0,CartPole-v1,100000.0,9
307,9.0,CartPole-v1,100000.0,9
308,19.0,CartPole-v1,100000.0,9
309,17.0,CartPole-v1,100000.0,9
310,51.0,CartPole-v1,100000.0,9
311,19.0,CartPole-v1,100000.0,9
312,19.0,CartPole-v1,100000.0,9
313,13.0,CartPole-v1,100000.0,9
314,17.0,CartPole-v1,100000.0,9
315,14.0,CartPole-v1,100000.0,9
316,33.0,CartPole-v1,100000.0,9
317,26.0,CartPole-v1,100000.0,9
318,58.0,CartPole-v1,100000.0,9
319,10.0,CartPole-v1,100000.0,9
320,19.0,CartPole-v1,100000.0,9
321,13.0,CartPole-v1,100000.0,9
322,12.0,CartPole-v1,100000.0,9
323,15.0,CartPole-v1,100000.0,9
324,21.0,CartPole-v1,100000.0,9
325,23.0,CartPole-v1,100000.0,9
326,18.0,CartPole-v1,100000.0,9
327,11.0,CartPole-v1,100000.0,9
328,27.0,CartPole-v1,100000.0,9
329,12.0,CartPole-v1,100000.0,9
330,15.0,CartPole-v1,100000.0,9
331,35.0,CartPole-v1,100000.0,9
332,17.0,CartPole-v1,100000.0,9
333,12.0,CartPole-v1,100000.0,9
334,14.0,CartPole-v1,100000.0,9
335,13.0,CartPole-v1,100000.0,9
336,32.0,CartPole-v1,100000.0,9
337,15.0,CartPole-v1,100000.0,9
338,13.0,CartPole-v1,100000.0,9
339,13.0,CartPole-v1,100000.0,9
340,22.0,CartPole-v1,100000.0,9
341,15.0,CartPole-v1,100000.0,9
342,11.0,CartPole-v1,100000.0,9
343,20.0,CartPole-v1,100000.0,9
344,11.0,CartPole-v1,100000.0,9
345,12.0,CartPole-v1,100000.0,9
346,30.0,CartPole-v1,100000.0,9
347,10.0,CartPole-v1,100000.0,9
348,48.0,CartPole-v1,100000.0,9
349,20.0,CartPole-v1,100000.0,9
350,23.0,CartPole-v1,100000.0,9
351,10.0,CartPole-v1,100000.0,9
352,15.0,CartPole-v1,100000.0,9
353,12.0,CartPole-v1,100000.0,9
354,20.0,CartPole-v1,100000.0,9
355,36.0,CartPole-v1,100000.0,9
356,17.0,CartPole-v1,100000.0,9
357,46.0,CartPole-v1,100000.0,9
358,11.0,CartPole-v1,100000.0,9
359,16.0,CartPole-v1,100000.0,9
360,23.0,CartPole-v1,100000.0,9
361,12.0,CartPole-v1,100000.0,9
362,23.0,CartPole-v1,100000.0,9
363,25.0,CartPole-v1,100000.0,9
364,26.0,CartPole-v1,100000.0,9
365,41.0,CartPole-v1,100000.0,9
366,23.0,CartPole-v1,100000.0,9
367,27.0,CartPole-v1,100000.0,9
368,12.0,CartPole-v1,100000.0,9
369,16.0,CartPole-v1,100000.0,9
370,13.0,CartPole-v1,100000.0,9
371,10.0,CartPole-v1,100000.0,9
372,20.0,CartPole-v1,100000.0,9
373,29.0,CartPole-v1,100000.0,9
374,21.0,CartPole-v1,100000.0,9
375,20.0,CartPole-v1,100000.0,9
376,12.0,CartPole-v1,100000.0,9
377,48.0,CartPole-v1,100000.0,9
378,13.0,CartPole-v1,100000.0,9
379,15.0,CartPole-v1,100000.0,9
380,18.0,CartPole-v1,100000.0,9
381,25.0,CartPole-v1,100000.0,9
382,10.0,CartPole-v1,100000.0,9
383,34.0,CartPole-v1,100000.0,9
384,8.0,CartPole-v1,100000.0,9
385,10.0,CartPole-v1,100000.0,9
386,32.0,CartPole-v1,100000.0,9
387,10.0,CartPole-v1,100000.0,9
388,51.0,CartPole-v1,100000.0,9
389,12.0,CartPole-v1,100000.0,9
390,26.0,CartPole-v1,100000.0,9
391,23.0,CartPole-v1,100000.0,9
392,23.0,CartPole-v1,100000.0,9
393,14.0,CartPole-v1,100000.0,9
394,64.0,CartPole-v1,100000.0,9
395,17.0,CartPole-v1,100000.0,9
396,10.0,CartPole-v1,100000.0,9
397,17.0,CartPole-v1,100000.0,9
398,39.0,CartPole-v1,100000.0,9
399,11.0,CartPole-v1,100000.0,9
400,29.0,CartPole-v1,100000.0,9
401,15.0,CartPole-v1,100000.0,9
402,38.0,CartPole-v1,100000.0,9
403,17.0,CartPole-v1,100000.0,9
404,42.0,CartPole-v1,100000.0,9
405,11.0,CartPole-v1,100000.0,9
406,15.0,CartPole-v1,100000.0,9
407,21.0,CartPole-v1,100000.0,9
408,32.0,CartPole-v1,100000.0,9
409,25.0,CartPole-v1,100000.0,9
