Episode,Episode Score,Environment,Max Episodes,Seed
1,13.0,CartPole-v1,100000.0,1
2,22.0,CartPole-v1,100000.0,1
3,27.0,CartPole-v1,100000.0,1
4,20.0,CartPole-v1,100000.0,1
5,31.0,CartPole-v1,100000.0,1
6,23.0,CartPole-v1,100000.0,1
7,59.0,CartPole-v1,100000.0,1
8,18.0,CartPole-v1,100000.0,1
9,15.0,CartPole-v1,100000.0,1
10,21.0,CartPole-v1,100000.0,1
11,13.0,CartPole-v1,100000.0,1
12,24.0,CartPole-v1,100000.0,1
13,9.0,CartPole-v1,100000.0,1
14,22.0,CartPole-v1,100000.0,1
15,15.0,CartPole-v1,100000.0,1
16,18.0,CartPole-v1,100000.0,1
17,20.0,CartPole-v1,100000.0,1
18,17.0,CartPole-v1,100000.0,1
19,47.0,CartPole-v1,100000.0,1
20,20.0,CartPole-v1,100000.0,1
21,31.0,CartPole-v1,100000.0,1
22,47.0,CartPole-v1,100000.0,1
23,11.0,CartPole-v1,100000.0,1
24,11.0,CartPole-v1,100000.0,1
25,30.0,CartPole-v1,100000.0,1
26,21.0,CartPole-v1,100000.0,1
27,12.0,CartPole-v1,100000.0,1
28,27.0,CartPole-v1,100000.0,1
29,10.0,CartPole-v1,100000.0,1
30,19.0,CartPole-v1,100000.0,1
31,12.0,CartPole-v1,100000.0,1
32,46.0,CartPole-v1,100000.0,1
33,16.0,CartPole-v1,100000.0,1
34,21.0,CartPole-v1,100000.0,1
35,9.0,CartPole-v1,100000.0,1
36,17.0,CartPole-v1,100000.0,1
37,28.0,CartPole-v1,100000.0,1
38,18.0,CartPole-v1,100000.0,1
39,20.0,CartPole-v1,100000.0,1
40,39.0,CartPole-v1,100000.0,1
41,39.0,CartPole-v1,100000.0,1
42,12.0,CartPole-v1,100000.0,1
43,11.0,CartPole-v1,100000.0,1
44,30.0,CartPole-v1,100000.0,1
45,59.0,CartPole-v1,100000.0,1
46,15.0,CartPole-v1,100000.0,1
47,36.0,CartPole-v1,100000.0,1
48,13.0,CartPole-v1,100000.0,1
49,19.0,CartPole-v1,100000.0,1
50,17.0,CartPole-v1,100000.0,1
51,29.0,CartPole-v1,100000.0,1
52,12.0,CartPole-v1,100000.0,1
53,21.0,CartPole-v1,100000.0,1
54,16.0,CartPole-v1,100000.0,1
55,21.0,CartPole-v1,100000.0,1
56,14.0,CartPole-v1,100000.0,1
57,26.0,CartPole-v1,100000.0,1
58,14.0,CartPole-v1,100000.0,1
59,27.0,CartPole-v1,100000.0,1
60,28.0,CartPole-v1,100000.0,1
61,11.0,CartPole-v1,100000.0,1
62,21.0,CartPole-v1,100000.0,1
63,15.0,CartPole-v1,100000.0,1
64,29.0,CartPole-v1,100000.0,1
65,21.0,CartPole-v1,100000.0,1
66,28.0,CartPole-v1,100000.0,1
67,44.0,CartPole-v1,100000.0,1
68,13.0,CartPole-v1,100000.0,1
69,20.0,CartPole-v1,100000.0,1
70,15.0,CartPole-v1,100000.0,1
71,26.0,CartPole-v1,100000.0,1
72,33.0,CartPole-v1,100000.0,1
73,17.0,CartPole-v1,100000.0,1
74,30.0,CartPole-v1,100000.0,1
75,15.0,CartPole-v1,100000.0,1
76,12.0,CartPole-v1,100000.0,1
77,29.0,CartPole-v1,100000.0,1
78,40.0,CartPole-v1,100000.0,1
79,23.0,CartPole-v1,100000.0,1
80,47.0,CartPole-v1,100000.0,1
81,14.0,CartPole-v1,100000.0,1
82,24.0,CartPole-v1,100000.0,1
83,21.0,CartPole-v1,100000.0,1
84,13.0,CartPole-v1,100000.0,1
85,12.0,CartPole-v1,100000.0,1
86,19.0,CartPole-v1,100000.0,1
87,24.0,CartPole-v1,100000.0,1
88,17.0,CartPole-v1,100000.0,1
