Episode,Episode Score,Environment,Max Episodes,Seed
1,44.0,CartPole-v1,100000.0,3
2,18.0,CartPole-v1,100000.0,3
3,14.0,CartPole-v1,100000.0,3
4,10.0,CartPole-v1,100000.0,3
5,13.0,CartPole-v1,100000.0,3
6,40.0,CartPole-v1,100000.0,3
7,26.0,CartPole-v1,100000.0,3
8,20.0,CartPole-v1,100000.0,3
9,31.0,CartPole-v1,100000.0,3
10,12.0,CartPole-v1,100000.0,3
11,13.0,CartPole-v1,100000.0,3
12,19.0,CartPole-v1,100000.0,3
13,33.0,CartPole-v1,100000.0,3
14,18.0,CartPole-v1,100000.0,3
15,9.0,CartPole-v1,100000.0,3
16,17.0,CartPole-v1,100000.0,3
17,9.0,CartPole-v1,100000.0,3
18,26.0,CartPole-v1,100000.0,3
19,28.0,CartPole-v1,100000.0,3
20,14.0,CartPole-v1,100000.0,3
21,19.0,CartPole-v1,100000.0,3
22,18.0,CartPole-v1,100000.0,3
23,18.0,CartPole-v1,100000.0,3
24,33.0,CartPole-v1,100000.0,3
25,12.0,CartPole-v1,100000.0,3
26,36.0,CartPole-v1,100000.0,3
27,25.0,CartPole-v1,100000.0,3
28,71.0,CartPole-v1,100000.0,3
29,30.0,CartPole-v1,100000.0,3
30,22.0,CartPole-v1,100000.0,3
31,12.0,CartPole-v1,100000.0,3
32,21.0,CartPole-v1,100000.0,3
33,25.0,CartPole-v1,100000.0,3
34,15.0,CartPole-v1,100000.0,3
35,9.0,CartPole-v1,100000.0,3
36,50.0,CartPole-v1,100000.0,3
37,14.0,CartPole-v1,100000.0,3
38,38.0,CartPole-v1,100000.0,3
39,19.0,CartPole-v1,100000.0,3
40,10.0,CartPole-v1,100000.0,3
41,27.0,CartPole-v1,100000.0,3
42,19.0,CartPole-v1,100000.0,3
43,61.0,CartPole-v1,100000.0,3
44,25.0,CartPole-v1,100000.0,3
45,48.0,CartPole-v1,100000.0,3
46,15.0,CartPole-v1,100000.0,3
47,17.0,CartPole-v1,100000.0,3
48,14.0,CartPole-v1,100000.0,3
49,41.0,CartPole-v1,100000.0,3
50,61.0,CartPole-v1,100000.0,3
51,14.0,CartPole-v1,100000.0,3
52,22.0,CartPole-v1,100000.0,3
53,32.0,CartPole-v1,100000.0,3
54,44.0,CartPole-v1,100000.0,3
55,11.0,CartPole-v1,100000.0,3
56,22.0,CartPole-v1,100000.0,3
57,13.0,CartPole-v1,100000.0,3
58,23.0,CartPole-v1,100000.0,3
59,19.0,CartPole-v1,100000.0,3
60,20.0,CartPole-v1,100000.0,3
61,20.0,CartPole-v1,100000.0,3
62,83.0,CartPole-v1,100000.0,3
63,32.0,CartPole-v1,100000.0,3
64,10.0,CartPole-v1,100000.0,3
65,26.0,CartPole-v1,100000.0,3
66,16.0,CartPole-v1,100000.0,3
67,24.0,CartPole-v1,100000.0,3
68,14.0,CartPole-v1,100000.0,3
69,13.0,CartPole-v1,100000.0,3
70,20.0,CartPole-v1,100000.0,3
71,39.0,CartPole-v1,100000.0,3
72,40.0,CartPole-v1,100000.0,3
73,41.0,CartPole-v1,100000.0,3
74,19.0,CartPole-v1,100000.0,3
75,28.0,CartPole-v1,100000.0,3
76,13.0,CartPole-v1,100000.0,3
77,14.0,CartPole-v1,100000.0,3
78,16.0,CartPole-v1,100000.0,3
79,23.0,CartPole-v1,100000.0,3
80,19.0,CartPole-v1,100000.0,3
81,23.0,CartPole-v1,100000.0,3
82,22.0,CartPole-v1,100000.0,3
