Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
1,37.0,CartPole-v1,100000.0,0.0001,0.99,6
2,18.0,CartPole-v1,100000.0,0.0001,0.99,6
3,14.0,CartPole-v1,100000.0,0.0001,0.99,6
4,18.0,CartPole-v1,100000.0,0.0001,0.99,6
5,22.0,CartPole-v1,100000.0,0.0001,0.99,6
6,11.0,CartPole-v1,100000.0,0.0001,0.99,6
7,13.0,CartPole-v1,100000.0,0.0001,0.99,6
8,33.0,CartPole-v1,100000.0,0.0001,0.99,6
9,33.0,CartPole-v1,100000.0,0.0001,0.99,6
10,9.0,CartPole-v1,100000.0,0.0001,0.99,6
11,22.0,CartPole-v1,100000.0,0.0001,0.99,6
12,18.0,CartPole-v1,100000.0,0.0001,0.99,6
13,52.0,CartPole-v1,100000.0,0.0001,0.99,6
14,12.0,CartPole-v1,100000.0,0.0001,0.99,6
15,14.0,CartPole-v1,100000.0,0.0001,0.99,6
16,21.0,CartPole-v1,100000.0,0.0001,0.99,6
17,13.0,CartPole-v1,100000.0,0.0001,0.99,6
18,16.0,CartPole-v1,100000.0,0.0001,0.99,6
19,31.0,CartPole-v1,100000.0,0.0001,0.99,6
20,10.0,CartPole-v1,100000.0,0.0001,0.99,6
21,13.0,CartPole-v1,100000.0,0.0001,0.99,6
22,12.0,CartPole-v1,100000.0,0.0001,0.99,6
23,44.0,CartPole-v1,100000.0,0.0001,0.99,6
24,13.0,CartPole-v1,100000.0,0.0001,0.99,6
25,33.0,CartPole-v1,100000.0,0.0001,0.99,6
26,24.0,CartPole-v1,100000.0,0.0001,0.99,6
27,14.0,CartPole-v1,100000.0,0.0001,0.99,6
28,24.0,CartPole-v1,100000.0,0.0001,0.99,6
29,37.0,CartPole-v1,100000.0,0.0001,0.99,6
30,12.0,CartPole-v1,100000.0,0.0001,0.99,6
31,19.0,CartPole-v1,100000.0,0.0001,0.99,6
32,18.0,CartPole-v1,100000.0,0.0001,0.99,6
33,21.0,CartPole-v1,100000.0,0.0001,0.99,6
34,20.0,CartPole-v1,100000.0,0.0001,0.99,6
35,10.0,CartPole-v1,100000.0,0.0001,0.99,6
36,28.0,CartPole-v1,100000.0,0.0001,0.99,6
37,18.0,CartPole-v1,100000.0,0.0001,0.99,6
38,28.0,CartPole-v1,100000.0,0.0001,0.99,6
39,40.0,CartPole-v1,100000.0,0.0001,0.99,6
40,21.0,CartPole-v1,100000.0,0.0001,0.99,6
41,15.0,CartPole-v1,100000.0,0.0001,0.99,6
42,13.0,CartPole-v1,100000.0,0.0001,0.99,6
43,14.0,CartPole-v1,100000.0,0.0001,0.99,6
44,14.0,CartPole-v1,100000.0,0.0001,0.99,6
45,14.0,CartPole-v1,100000.0,0.0001,0.99,6
46,27.0,CartPole-v1,100000.0,0.0001,0.99,6
47,16.0,CartPole-v1,100000.0,0.0001,0.99,6
48,17.0,CartPole-v1,100000.0,0.0001,0.99,6
49,13.0,CartPole-v1,100000.0,0.0001,0.99,6
50,20.0,CartPole-v1,100000.0,0.0001,0.99,6
51,30.0,CartPole-v1,100000.0,0.0001,0.99,6
