Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,15,CartPole-v1,100000.0,0.001,0.95,5,9
200,9,CartPole-v1,100000.0,0.001,0.95,5,9
300,9,CartPole-v1,100000.0,0.001,0.95,5,9
400,17,CartPole-v1,100000.0,0.001,0.95,5,9
500,28,CartPole-v1,100000.0,0.001,0.95,5,9
600,45,CartPole-v1,100000.0,0.001,0.95,5,9
700,69,CartPole-v1,100000.0,0.001,0.95,5,9
800,66,CartPole-v1,100000.0,0.001,0.95,5,9
900,142,CartPole-v1,100000.0,0.001,0.95,5,9
1000,111,CartPole-v1,100000.0,0.001,0.95,5,9
1100,30,CartPole-v1,100000.0,0.001,0.95,5,9
1200,28,CartPole-v1,100000.0,0.001,0.95,5,9
1300,21,CartPole-v1,100000.0,0.001,0.95,5,9
1400,23,CartPole-v1,100000.0,0.001,0.95,5,9
1500,19,CartPole-v1,100000.0,0.001,0.95,5,9
1600,18,CartPole-v1,100000.0,0.001,0.95,5,9
1700,23,CartPole-v1,100000.0,0.001,0.95,5,9
1800,60,CartPole-v1,100000.0,0.001,0.95,5,9
1900,45,CartPole-v1,100000.0,0.001,0.95,5,9
2000,63,CartPole-v1,100000.0,0.001,0.95,5,9
2100,147,CartPole-v1,100000.0,0.001,0.95,5,9
2200,286,CartPole-v1,100000.0,0.001,0.95,5,9
2300,219,CartPole-v1,100000.0,0.001,0.95,5,9
2400,206,CartPole-v1,100000.0,0.001,0.95,5,9
2500,128,CartPole-v1,100000.0,0.001,0.95,5,9
2600,109,CartPole-v1,100000.0,0.001,0.95,5,9
2700,121,CartPole-v1,100000.0,0.001,0.95,5,9
2800,178,CartPole-v1,100000.0,0.001,0.95,5,9
2900,81,CartPole-v1,100000.0,0.001,0.95,5,9
3000,105,CartPole-v1,100000.0,0.001,0.95,5,9
3100,148,CartPole-v1,100000.0,0.001,0.95,5,9
3200,111,CartPole-v1,100000.0,0.001,0.95,5,9
3300,191,CartPole-v1,100000.0,0.001,0.95,5,9
3400,149,CartPole-v1,100000.0,0.001,0.95,5,9
3500,9,CartPole-v1,100000.0,0.001,0.95,5,9
3600,104,CartPole-v1,100000.0,0.001,0.95,5,9
3700,144,CartPole-v1,100000.0,0.001,0.95,5,9
3800,159,CartPole-v1,100000.0,0.001,0.95,5,9
3900,176,CartPole-v1,100000.0,0.001,0.95,5,9
4000,159,CartPole-v1,100000.0,0.001,0.95,5,9
4100,175,CartPole-v1,100000.0,0.001,0.95,5,9
4200,143,CartPole-v1,100000.0,0.001,0.95,5,9
4300,173,CartPole-v1,100000.0,0.001,0.95,5,9
4400,152,CartPole-v1,100000.0,0.001,0.95,5,9
4500,172,CartPole-v1,100000.0,0.001,0.95,5,9
4600,197,CartPole-v1,100000.0,0.001,0.95,5,9
4700,193,CartPole-v1,100000.0,0.001,0.95,5,9
4800,190,CartPole-v1,100000.0,0.001,0.95,5,9
4900,175,CartPole-v1,100000.0,0.001,0.95,5,9
5000,183,CartPole-v1,100000.0,0.001,0.95,5,9
5100,144,CartPole-v1,100000.0,0.001,0.95,5,9
5200,143,CartPole-v1,100000.0,0.001,0.95,5,9
5300,160,CartPole-v1,100000.0,0.001,0.95,5,9
5400,145,CartPole-v1,100000.0,0.001,0.95,5,9
5500,129,CartPole-v1,100000.0,0.001,0.95,5,9
5600,131,CartPole-v1,100000.0,0.001,0.95,5,9
5700,123,CartPole-v1,100000.0,0.001,0.95,5,9
5800,124,CartPole-v1,100000.0,0.001,0.95,5,9
5900,105,CartPole-v1,100000.0,0.001,0.95,5,9
6000,102,CartPole-v1,100000.0,0.001,0.95,5,9
6100,56,CartPole-v1,100000.0,0.001,0.95,5,9
6200,69,CartPole-v1,100000.0,0.001,0.95,5,9
6300,147,CartPole-v1,100000.0,0.001,0.95,5,9
6400,137,CartPole-v1,100000.0,0.001,0.95,5,9
6500,137,CartPole-v1,100000.0,0.001,0.95,5,9
6600,141,CartPole-v1,100000.0,0.001,0.95,5,9
6700,130,CartPole-v1,100000.0,0.001,0.95,5,9
