Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,15,CartPole-v1,100000.0,0.0005,0.95,5,1
200,11,CartPole-v1,100000.0,0.0005,0.95,5,1
300,10,CartPole-v1,100000.0,0.0005,0.95,5,1
400,10,CartPole-v1,100000.0,0.0005,0.95,5,1
500,10,CartPole-v1,100000.0,0.0005,0.95,5,1
600,9,CartPole-v1,100000.0,0.0005,0.95,5,1
700,9,CartPole-v1,100000.0,0.0005,0.95,5,1
800,9,CartPole-v1,100000.0,0.0005,0.95,5,1
900,9,CartPole-v1,100000.0,0.0005,0.95,5,1
1000,9,CartPole-v1,100000.0,0.0005,0.95,5,1
1100,9,CartPole-v1,100000.0,0.0005,0.95,5,1
1200,9,CartPole-v1,100000.0,0.0005,0.95,5,1
1300,10,CartPole-v1,100000.0,0.0005,0.95,5,1
1400,11,CartPole-v1,100000.0,0.0005,0.95,5,1
1500,17,CartPole-v1,100000.0,0.0005,0.95,5,1
1600,18,CartPole-v1,100000.0,0.0005,0.95,5,1
1700,15,CartPole-v1,100000.0,0.0005,0.95,5,1
1800,16,CartPole-v1,100000.0,0.0005,0.95,5,1
1900,20,CartPole-v1,100000.0,0.0005,0.95,5,1
2000,20,CartPole-v1,100000.0,0.0005,0.95,5,1
2100,23,CartPole-v1,100000.0,0.0005,0.95,5,1
2200,25,CartPole-v1,100000.0,0.0005,0.95,5,1
2300,23,CartPole-v1,100000.0,0.0005,0.95,5,1
2400,29,CartPole-v1,100000.0,0.0005,0.95,5,1
2500,35,CartPole-v1,100000.0,0.0005,0.95,5,1
2600,40,CartPole-v1,100000.0,0.0005,0.95,5,1
2700,41,CartPole-v1,100000.0,0.0005,0.95,5,1
2800,53,CartPole-v1,100000.0,0.0005,0.95,5,1
2900,67,CartPole-v1,100000.0,0.0005,0.95,5,1
3000,92,CartPole-v1,100000.0,0.0005,0.95,5,1
3100,146,CartPole-v1,100000.0,0.0005,0.95,5,1
3200,303,CartPole-v1,100000.0,0.0005,0.95,5,1
3300,168,CartPole-v1,100000.0,0.0005,0.95,5,1
3400,207,CartPole-v1,100000.0,0.0005,0.95,5,1
3500,219,CartPole-v1,100000.0,0.0005,0.95,5,1
3600,241,CartPole-v1,100000.0,0.0005,0.95,5,1
3700,162,CartPole-v1,100000.0,0.0005,0.95,5,1
3800,103,CartPole-v1,100000.0,0.0005,0.95,5,1
3900,199,CartPole-v1,100000.0,0.0005,0.95,5,1
4000,192,CartPole-v1,100000.0,0.0005,0.95,5,1
4100,194,CartPole-v1,100000.0,0.0005,0.95,5,1
4200,262,CartPole-v1,100000.0,0.0005,0.95,5,1
4300,183,CartPole-v1,100000.0,0.0005,0.95,5,1
4400,191,CartPole-v1,100000.0,0.0005,0.95,5,1
4500,150,CartPole-v1,100000.0,0.0005,0.95,5,1
4600,166,CartPole-v1,100000.0,0.0005,0.95,5,1
4700,160,CartPole-v1,100000.0,0.0005,0.95,5,1
4800,193,CartPole-v1,100000.0,0.0005,0.95,5,1
4900,220,CartPole-v1,100000.0,0.0005,0.95,5,1
5000,215,CartPole-v1,100000.0,0.0005,0.95,5,1
5100,135,CartPole-v1,100000.0,0.0005,0.95,5,1
5200,153,CartPole-v1,100000.0,0.0005,0.95,5,1
5300,155,CartPole-v1,100000.0,0.0005,0.95,5,1
5400,210,CartPole-v1,100000.0,0.0005,0.95,5,1
5500,163,CartPole-v1,100000.0,0.0005,0.95,5,1
5600,213,CartPole-v1,100000.0,0.0005,0.95,5,1
5700,214,CartPole-v1,100000.0,0.0005,0.95,5,1
5800,301,CartPole-v1,100000.0,0.0005,0.95,5,1
5900,209,CartPole-v1,100000.0,0.0005,0.95,5,1
6000,186,CartPole-v1,100000.0,0.0005,0.95,5,1
6100,144,CartPole-v1,100000.0,0.0005,0.95,5,1
6200,191,CartPole-v1,100000.0,0.0005,0.95,5,1
6300,148,CartPole-v1,100000.0,0.0005,0.95,5,1
6400,153,CartPole-v1,100000.0,0.0005,0.95,5,1
6500,167,CartPole-v1,100000.0,0.0005,0.95,5,1
6600,186,CartPole-v1,100000.0,0.0005,0.95,5,1
6700,166,CartPole-v1,100000.0,0.0005,0.95,5,1
6800,147,CartPole-v1,100000.0,0.0005,0.95,5,1
6900,137,CartPole-v1,100000.0,0.0005,0.95,5,1
7000,130,CartPole-v1,100000.0,0.0005,0.95,5,1
7100,134,CartPole-v1,100000.0,0.0005,0.95,5,1
7200,138,CartPole-v1,100000.0,0.0005,0.95,5,1
7300,137,CartPole-v1,100000.0,0.0005,0.95,5,1
7400,134,CartPole-v1,100000.0,0.0005,0.95,5,1
7500,191,CartPole-v1,100000.0,0.0005,0.95,5,1
7600,218,CartPole-v1,100000.0,0.0005,0.95,5,1
7700,135,CartPole-v1,100000.0,0.0005,0.95,5,1
7800,144,CartPole-v1,100000.0,0.0005,0.95,5,1
7900,141,CartPole-v1,100000.0,0.0005,0.95,5,1
8000,130,CartPole-v1,100000.0,0.0005,0.95,5,1
8100,123,CartPole-v1,100000.0,0.0005,0.95,5,1
8200,117,CartPole-v1,100000.0,0.0005,0.95,5,1
8300,118,CartPole-v1,100000.0,0.0005,0.95,5,1
8400,117,CartPole-v1,100000.0,0.0005,0.95,5,1
8500,113,CartPole-v1,100000.0,0.0005,0.95,5,1
8600,113,CartPole-v1,100000.0,0.0005,0.95,5,1
8700,109,CartPole-v1,100000.0,0.0005,0.95,5,1
8800,106,CartPole-v1,100000.0,0.0005,0.95,5,1
8900,105,CartPole-v1,100000.0,0.0005,0.95,5,1
9000,101,CartPole-v1,100000.0,0.0005,0.95,5,1
9100,98,CartPole-v1,100000.0,0.0005,0.95,5,1
9200,97,CartPole-v1,100000.0,0.0005,0.95,5,1
9300,98,CartPole-v1,100000.0,0.0005,0.95,5,1
9400,96,CartPole-v1,100000.0,0.0005,0.95,5,1
9500,94,CartPole-v1,100000.0,0.0005,0.95,5,1
9600,91,CartPole-v1,100000.0,0.0005,0.95,5,1
9700,90,CartPole-v1,100000.0,0.0005,0.95,5,1
9800,91,CartPole-v1,100000.0,0.0005,0.95,5,1
9900,85,CartPole-v1,100000.0,0.0005,0.95,5,1
10000,92,CartPole-v1,100000.0,0.0005,0.95,5,1
10100,92,CartPole-v1,100000.0,0.0005,0.95,5,1
10200,89,CartPole-v1,100000.0,0.0005,0.95,5,1
10300,95,CartPole-v1,100000.0,0.0005,0.95,5,1
10400,98,CartPole-v1,100000.0,0.0005,0.95,5,1
10500,91,CartPole-v1,100000.0,0.0005,0.95,5,1
10600,94,CartPole-v1,100000.0,0.0005,0.95,5,1
10700,90,CartPole-v1,100000.0,0.0005,0.95,5,1
10800,91,CartPole-v1,100000.0,0.0005,0.95,5,1
10900,93,CartPole-v1,100000.0,0.0005,0.95,5,1
11000,96,CartPole-v1,100000.0,0.0005,0.95,5,1
11100,93,CartPole-v1,100000.0,0.0005,0.95,5,1
11200,94,CartPole-v1,100000.0,0.0005,0.95,5,1
11300,93,CartPole-v1,100000.0,0.0005,0.95,5,1
11400,93,CartPole-v1,100000.0,0.0005,0.95,5,1
11500,91,CartPole-v1,100000.0,0.0005,0.95,5,1
11600,95,CartPole-v1,100000.0,0.0005,0.95,5,1
11700,94,CartPole-v1,100000.0,0.0005,0.95,5,1
11800,93,CartPole-v1,100000.0,0.0005,0.95,5,1
11900,94,CartPole-v1,100000.0,0.0005,0.95,5,1
12000,124,CartPole-v1,100000.0,0.0005,0.95,5,1
12100,124,CartPole-v1,100000.0,0.0005,0.95,5,1
12200,93,CartPole-v1,100000.0,0.0005,0.95,5,1
12300,99,CartPole-v1,100000.0,0.0005,0.95,5,1
12400,92,CartPole-v1,100000.0,0.0005,0.95,5,1
12500,91,CartPole-v1,100000.0,0.0005,0.95,5,1
12600,93,CartPole-v1,100000.0,0.0005,0.95,5,1
12700,94,CartPole-v1,100000.0,0.0005,0.95,5,1
12800,88,CartPole-v1,100000.0,0.0005,0.95,5,1
12900,89,CartPole-v1,100000.0,0.0005,0.95,5,1
13000,92,CartPole-v1,100000.0,0.0005,0.95,5,1
13100,89,CartPole-v1,100000.0,0.0005,0.95,5,1
13200,91,CartPole-v1,100000.0,0.0005,0.95,5,1
13300,90,CartPole-v1,100000.0,0.0005,0.95,5,1
13400,91,CartPole-v1,100000.0,0.0005,0.95,5,1
13500,90,CartPole-v1,100000.0,0.0005,0.95,5,1
13600,91,CartPole-v1,100000.0,0.0005,0.95,5,1
13700,91,CartPole-v1,100000.0,0.0005,0.95,5,1
13800,91,CartPole-v1,100000.0,0.0005,0.95,5,1
13900,90,CartPole-v1,100000.0,0.0005,0.95,5,1
14000,90,CartPole-v1,100000.0,0.0005,0.95,5,1
14100,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14200,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14300,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14400,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14500,90,CartPole-v1,100000.0,0.0005,0.95,5,1
14600,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14700,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14800,91,CartPole-v1,100000.0,0.0005,0.95,5,1
14900,91,CartPole-v1,100000.0,0.0005,0.95,5,1
15000,91,CartPole-v1,100000.0,0.0005,0.95,5,1
15100,90,CartPole-v1,100000.0,0.0005,0.95,5,1
15200,89,CartPole-v1,100000.0,0.0005,0.95,5,1
15300,91,CartPole-v1,100000.0,0.0005,0.95,5,1
15400,90,CartPole-v1,100000.0,0.0005,0.95,5,1
