Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,15,CartPole-v1,100000.0,0.0005,0.99,4,7
200,12,CartPole-v1,100000.0,0.0005,0.99,4,7
300,11,CartPole-v1,100000.0,0.0005,0.99,4,7
400,11,CartPole-v1,100000.0,0.0005,0.99,4,7
500,11,CartPole-v1,100000.0,0.0005,0.99,4,7
600,12,CartPole-v1,100000.0,0.0005,0.99,4,7
700,16,CartPole-v1,100000.0,0.0005,0.99,4,7
800,18,CartPole-v1,100000.0,0.0005,0.99,4,7
900,17,CartPole-v1,100000.0,0.0005,0.99,4,7
1000,18,CartPole-v1,100000.0,0.0005,0.99,4,7
1100,24,CartPole-v1,100000.0,0.0005,0.99,4,7
1200,24,CartPole-v1,100000.0,0.0005,0.99,4,7
1300,23,CartPole-v1,100000.0,0.0005,0.99,4,7
1400,24,CartPole-v1,100000.0,0.0005,0.99,4,7
1500,27,CartPole-v1,100000.0,0.0005,0.99,4,7
1600,28,CartPole-v1,100000.0,0.0005,0.99,4,7
1700,29,CartPole-v1,100000.0,0.0005,0.99,4,7
1800,31,CartPole-v1,100000.0,0.0005,0.99,4,7
1900,36,CartPole-v1,100000.0,0.0005,0.99,4,7
2000,45,CartPole-v1,100000.0,0.0005,0.99,4,7
2100,50,CartPole-v1,100000.0,0.0005,0.99,4,7
2200,56,CartPole-v1,100000.0,0.0005,0.99,4,7
2300,60,CartPole-v1,100000.0,0.0005,0.99,4,7
2400,66,CartPole-v1,100000.0,0.0005,0.99,4,7
2500,74,CartPole-v1,100000.0,0.0005,0.99,4,7
2600,102,CartPole-v1,100000.0,0.0005,0.99,4,7
2700,186,CartPole-v1,100000.0,0.0005,0.99,4,7
2800,93,CartPole-v1,100000.0,0.0005,0.99,4,7
2900,81,CartPole-v1,100000.0,0.0005,0.99,4,7
3000,123,CartPole-v1,100000.0,0.0005,0.99,4,7
3100,131,CartPole-v1,100000.0,0.0005,0.99,4,7
3200,67,CartPole-v1,100000.0,0.0005,0.99,4,7
3300,57,CartPole-v1,100000.0,0.0005,0.99,4,7
3400,119,CartPole-v1,100000.0,0.0005,0.99,4,7
