Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,15,CartPole-v1,100000.0,0.001,0.95,4,7
200,11,CartPole-v1,100000.0,0.001,0.95,4,7
300,17,CartPole-v1,100000.0,0.001,0.95,4,7
400,17,CartPole-v1,100000.0,0.001,0.95,4,7
500,18,CartPole-v1,100000.0,0.001,0.95,4,7
600,21,CartPole-v1,100000.0,0.001,0.95,4,7
700,26,CartPole-v1,100000.0,0.001,0.95,4,7
800,37,CartPole-v1,100000.0,0.001,0.95,4,7
900,48,CartPole-v1,100000.0,0.001,0.95,4,7
1000,65,CartPole-v1,100000.0,0.001,0.95,4,7
1100,108,CartPole-v1,100000.0,0.001,0.95,4,7
1200,306,CartPole-v1,100000.0,0.001,0.95,4,7
1300,125,CartPole-v1,100000.0,0.001,0.95,4,7
1400,164,CartPole-v1,100000.0,0.001,0.95,4,7
1500,153,CartPole-v1,100000.0,0.001,0.95,4,7
1600,82,CartPole-v1,100000.0,0.001,0.95,4,7
1700,154,CartPole-v1,100000.0,0.001,0.95,4,7
1800,138,CartPole-v1,100000.0,0.001,0.95,4,7
1900,129,CartPole-v1,100000.0,0.001,0.95,4,7
2000,102,CartPole-v1,100000.0,0.001,0.95,4,7
2100,112,CartPole-v1,100000.0,0.001,0.95,4,7
2200,87,CartPole-v1,100000.0,0.001,0.95,4,7
2300,116,CartPole-v1,100000.0,0.001,0.95,4,7
2400,98,CartPole-v1,100000.0,0.001,0.95,4,7
2500,102,CartPole-v1,100000.0,0.001,0.95,4,7
2600,112,CartPole-v1,100000.0,0.001,0.95,4,7
2700,102,CartPole-v1,100000.0,0.001,0.95,4,7
2800,108,CartPole-v1,100000.0,0.001,0.95,4,7
2900,117,CartPole-v1,100000.0,0.001,0.95,4,7
3000,106,CartPole-v1,100000.0,0.001,0.95,4,7
3100,113,CartPole-v1,100000.0,0.001,0.95,4,7
3200,116,CartPole-v1,100000.0,0.001,0.95,4,7
3300,125,CartPole-v1,100000.0,0.001,0.95,4,7
3400,129,CartPole-v1,100000.0,0.001,0.95,4,7
3500,127,CartPole-v1,100000.0,0.001,0.95,4,7
3600,113,CartPole-v1,100000.0,0.001,0.95,4,7
3700,99,CartPole-v1,100000.0,0.001,0.95,4,7
3800,99,CartPole-v1,100000.0,0.001,0.95,4,7
3900,98,CartPole-v1,100000.0,0.001,0.95,4,7
4000,96,CartPole-v1,100000.0,0.001,0.95,4,7
4100,102,CartPole-v1,100000.0,0.001,0.95,4,7
4200,102,CartPole-v1,100000.0,0.001,0.95,4,7
4300,98,CartPole-v1,100000.0,0.001,0.95,4,7
4400,105,CartPole-v1,100000.0,0.001,0.95,4,7
4500,95,CartPole-v1,100000.0,0.001,0.95,4,7
4600,98,CartPole-v1,100000.0,0.001,0.95,4,7
4700,98,CartPole-v1,100000.0,0.001,0.95,4,7
4800,28,CartPole-v1,100000.0,0.001,0.95,4,7
4900,106,CartPole-v1,100000.0,0.001,0.95,4,7
5000,116,CartPole-v1,100000.0,0.001,0.95,4,7
5100,109,CartPole-v1,100000.0,0.001,0.95,4,7
5200,93,CartPole-v1,100000.0,0.001,0.95,4,7
5300,94,CartPole-v1,100000.0,0.001,0.95,4,7
5400,91,CartPole-v1,100000.0,0.001,0.95,4,7
5500,94,CartPole-v1,100000.0,0.001,0.95,4,7
5600,98,CartPole-v1,100000.0,0.001,0.95,4,7
5700,93,CartPole-v1,100000.0,0.001,0.95,4,7
5800,97,CartPole-v1,100000.0,0.001,0.95,4,7
5900,98,CartPole-v1,100000.0,0.001,0.95,4,7
6000,96,CartPole-v1,100000.0,0.001,0.95,4,7
6100,95,CartPole-v1,100000.0,0.001,0.95,4,7
6200,93,CartPole-v1,100000.0,0.001,0.95,4,7
6300,97,CartPole-v1,100000.0,0.001,0.95,4,7
6400,95,CartPole-v1,100000.0,0.001,0.95,4,7
6500,97,CartPole-v1,100000.0,0.001,0.95,4,7
6600,70,CartPole-v1,100000.0,0.001,0.95,4,7
6700,60,CartPole-v1,100000.0,0.001,0.95,4,7
6800,111,CartPole-v1,100000.0,0.001,0.95,4,7
6900,108,CartPole-v1,100000.0,0.001,0.95,4,7
7000,90,CartPole-v1,100000.0,0.001,0.95,4,7
7100,92,CartPole-v1,100000.0,0.001,0.95,4,7
7200,89,CartPole-v1,100000.0,0.001,0.95,4,7
7300,92,CartPole-v1,100000.0,0.001,0.95,4,7
7400,94,CartPole-v1,100000.0,0.001,0.95,4,7
7500,95,CartPole-v1,100000.0,0.001,0.95,4,7
7600,94,CartPole-v1,100000.0,0.001,0.95,4,7
7700,96,CartPole-v1,100000.0,0.001,0.95,4,7
7800,96,CartPole-v1,100000.0,0.001,0.95,4,7
7900,91,CartPole-v1,100000.0,0.001,0.95,4,7
8000,93,CartPole-v1,100000.0,0.001,0.95,4,7
8100,88,CartPole-v1,100000.0,0.001,0.95,4,7
8200,83,CartPole-v1,100000.0,0.001,0.95,4,7
8300,94,CartPole-v1,100000.0,0.001,0.95,4,7
8400,90,CartPole-v1,100000.0,0.001,0.95,4,7
8500,88,CartPole-v1,100000.0,0.001,0.95,4,7
8600,90,CartPole-v1,100000.0,0.001,0.95,4,7
8700,89,CartPole-v1,100000.0,0.001,0.95,4,7
8800,92,CartPole-v1,100000.0,0.001,0.95,4,7
8900,95,CartPole-v1,100000.0,0.001,0.95,4,7
9000,93,CartPole-v1,100000.0,0.001,0.95,4,7
9100,91,CartPole-v1,100000.0,0.001,0.95,4,7
9200,96,CartPole-v1,100000.0,0.001,0.95,4,7
9300,93,CartPole-v1,100000.0,0.001,0.95,4,7
9400,86,CartPole-v1,100000.0,0.001,0.95,4,7
9500,89,CartPole-v1,100000.0,0.001,0.95,4,7
9600,92,CartPole-v1,100000.0,0.001,0.95,4,7
9700,90,CartPole-v1,100000.0,0.001,0.95,4,7
9800,92,CartPole-v1,100000.0,0.001,0.95,4,7
9900,91,CartPole-v1,100000.0,0.001,0.95,4,7
10000,92,CartPole-v1,100000.0,0.001,0.95,4,7
10100,93,CartPole-v1,100000.0,0.001,0.95,4,7
10200,93,CartPole-v1,100000.0,0.001,0.95,4,7
10300,94,CartPole-v1,100000.0,0.001,0.95,4,7
10400,92,CartPole-v1,100000.0,0.001,0.95,4,7
10500,94,CartPole-v1,100000.0,0.001,0.95,4,7
10600,85,CartPole-v1,100000.0,0.001,0.95,4,7
10700,80,CartPole-v1,100000.0,0.001,0.95,4,7
10800,97,CartPole-v1,100000.0,0.001,0.95,4,7
10900,91,CartPole-v1,100000.0,0.001,0.95,4,7
11000,88,CartPole-v1,100000.0,0.001,0.95,4,7
11100,95,CartPole-v1,100000.0,0.001,0.95,4,7
11200,89,CartPole-v1,100000.0,0.001,0.95,4,7
11300,92,CartPole-v1,100000.0,0.001,0.95,4,7
11400,85,CartPole-v1,100000.0,0.001,0.95,4,7
11500,109,CartPole-v1,100000.0,0.001,0.95,4,7
11600,185,CartPole-v1,100000.0,0.001,0.95,4,7
11700,149,CartPole-v1,100000.0,0.001,0.95,4,7
11800,183,CartPole-v1,100000.0,0.001,0.95,4,7
11900,222,CartPole-v1,100000.0,0.001,0.95,4,7
12000,132,CartPole-v1,100000.0,0.001,0.95,4,7
12100,138,CartPole-v1,100000.0,0.001,0.95,4,7
12200,77,CartPole-v1,100000.0,0.001,0.95,4,7
12300,81,CartPole-v1,100000.0,0.001,0.95,4,7
12400,111,CartPole-v1,100000.0,0.001,0.95,4,7
12500,76,CartPole-v1,100000.0,0.001,0.95,4,7
12600,91,CartPole-v1,100000.0,0.001,0.95,4,7
12700,79,CartPole-v1,100000.0,0.001,0.95,4,7
12800,51,CartPole-v1,100000.0,0.001,0.95,4,7
12900,24,CartPole-v1,100000.0,0.001,0.95,4,7
13000,21,CartPole-v1,100000.0,0.001,0.95,4,7
13100,27,CartPole-v1,100000.0,0.001,0.95,4,7
13200,42,CartPole-v1,100000.0,0.001,0.95,4,7
13300,55,CartPole-v1,100000.0,0.001,0.95,4,7
13400,67,CartPole-v1,100000.0,0.001,0.95,4,7
13500,88,CartPole-v1,100000.0,0.001,0.95,4,7
13600,67,CartPole-v1,100000.0,0.001,0.95,4,7
13700,33,CartPole-v1,100000.0,0.001,0.95,4,7
13800,19,CartPole-v1,100000.0,0.001,0.95,4,7
13900,18,CartPole-v1,100000.0,0.001,0.95,4,7
14000,24,CartPole-v1,100000.0,0.001,0.95,4,7
14100,30,CartPole-v1,100000.0,0.001,0.95,4,7
14200,37,CartPole-v1,100000.0,0.001,0.95,4,7
14300,82,CartPole-v1,100000.0,0.001,0.95,4,7
14400,54,CartPole-v1,100000.0,0.001,0.95,4,7
14500,35,CartPole-v1,100000.0,0.001,0.95,4,7
14600,30,CartPole-v1,100000.0,0.001,0.95,4,7
14700,38,CartPole-v1,100000.0,0.001,0.95,4,7
14800,51,CartPole-v1,100000.0,0.001,0.95,4,7
14900,48,CartPole-v1,100000.0,0.001,0.95,4,7
15000,48,CartPole-v1,100000.0,0.001,0.95,4,7
15100,51,CartPole-v1,100000.0,0.001,0.95,4,7
15200,51,CartPole-v1,100000.0,0.001,0.95,4,7
15300,63,CartPole-v1,100000.0,0.001,0.95,4,7
15400,71,CartPole-v1,100000.0,0.001,0.95,4,7
15500,50,CartPole-v1,100000.0,0.001,0.95,4,7
15600,44,CartPole-v1,100000.0,0.001,0.95,4,7
15700,43,CartPole-v1,100000.0,0.001,0.95,4,7
15800,47,CartPole-v1,100000.0,0.001,0.95,4,7
15900,83,CartPole-v1,100000.0,0.001,0.95,4,7
16000,74,CartPole-v1,100000.0,0.001,0.95,4,7
16100,64,CartPole-v1,100000.0,0.001,0.95,4,7
16200,77,CartPole-v1,100000.0,0.001,0.95,4,7
16300,135,CartPole-v1,100000.0,0.001,0.95,4,7
16400,171,CartPole-v1,100000.0,0.001,0.95,4,7
