Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,20,CartPole-v1,100000.0,0.0001,0.97,4,6
200,20,CartPole-v1,100000.0,0.0001,0.97,4,6
300,17,CartPole-v1,100000.0,0.0001,0.97,4,6
400,16,CartPole-v1,100000.0,0.0001,0.97,4,6
500,14,CartPole-v1,100000.0,0.0001,0.97,4,6
600,13,CartPole-v1,100000.0,0.0001,0.97,4,6
700,12,CartPole-v1,100000.0,0.0001,0.97,4,6
800,11,CartPole-v1,100000.0,0.0001,0.97,4,6
900,11,CartPole-v1,100000.0,0.0001,0.97,4,6
1000,11,CartPole-v1,100000.0,0.0001,0.97,4,6
1100,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1200,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1300,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1400,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1500,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1600,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1700,10,CartPole-v1,100000.0,0.0001,0.97,4,6
1800,9,CartPole-v1,100000.0,0.0001,0.97,4,6
1900,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2000,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2100,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2200,10,CartPole-v1,100000.0,0.0001,0.97,4,6
2300,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2400,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2500,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2600,10,CartPole-v1,100000.0,0.0001,0.97,4,6
2700,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2800,9,CartPole-v1,100000.0,0.0001,0.97,4,6
2900,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3000,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3100,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3200,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3300,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3400,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3500,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3600,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3700,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3800,9,CartPole-v1,100000.0,0.0001,0.97,4,6
3900,9,CartPole-v1,100000.0,0.0001,0.97,4,6
4000,9,CartPole-v1,100000.0,0.0001,0.97,4,6
4100,10,CartPole-v1,100000.0,0.0001,0.97,4,6
4200,9,CartPole-v1,100000.0,0.0001,0.97,4,6
4300,9,CartPole-v1,100000.0,0.0001,0.97,4,6
4400,9,CartPole-v1,100000.0,0.0001,0.97,4,6
4500,10,CartPole-v1,100000.0,0.0001,0.97,4,6
4600,10,CartPole-v1,100000.0,0.0001,0.97,4,6
4700,10,CartPole-v1,100000.0,0.0001,0.97,4,6
4800,10,CartPole-v1,100000.0,0.0001,0.97,4,6
4900,10,CartPole-v1,100000.0,0.0001,0.97,4,6
5000,10,CartPole-v1,100000.0,0.0001,0.97,4,6
5100,11,CartPole-v1,100000.0,0.0001,0.97,4,6
5200,11,CartPole-v1,100000.0,0.0001,0.97,4,6
5300,11,CartPole-v1,100000.0,0.0001,0.97,4,6
5400,12,CartPole-v1,100000.0,0.0001,0.97,4,6
5500,13,CartPole-v1,100000.0,0.0001,0.97,4,6
5600,16,CartPole-v1,100000.0,0.0001,0.97,4,6
5700,20,CartPole-v1,100000.0,0.0001,0.97,4,6
5800,21,CartPole-v1,100000.0,0.0001,0.97,4,6
5900,22,CartPole-v1,100000.0,0.0001,0.97,4,6
6000,21,CartPole-v1,100000.0,0.0001,0.97,4,6
