Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,20,CartPole-v1,100000.0,0.0001,0.95,5,9
200,23,CartPole-v1,100000.0,0.0001,0.95,5,9
300,19,CartPole-v1,100000.0,0.0001,0.95,5,9
400,17,CartPole-v1,100000.0,0.0001,0.95,5,9
500,17,CartPole-v1,100000.0,0.0001,0.95,5,9
600,15,CartPole-v1,100000.0,0.0001,0.95,5,9
700,13,CartPole-v1,100000.0,0.0001,0.95,5,9
800,14,CartPole-v1,100000.0,0.0001,0.95,5,9
900,12,CartPole-v1,100000.0,0.0001,0.95,5,9
1000,12,CartPole-v1,100000.0,0.0001,0.95,5,9
1100,11,CartPole-v1,100000.0,0.0001,0.95,5,9
1200,11,CartPole-v1,100000.0,0.0001,0.95,5,9
1300,11,CartPole-v1,100000.0,0.0001,0.95,5,9
1400,11,CartPole-v1,100000.0,0.0001,0.95,5,9
1500,11,CartPole-v1,100000.0,0.0001,0.95,5,9
1600,10,CartPole-v1,100000.0,0.0001,0.95,5,9
1700,10,CartPole-v1,100000.0,0.0001,0.95,5,9
1800,11,CartPole-v1,100000.0,0.0001,0.95,5,9
1900,11,CartPole-v1,100000.0,0.0001,0.95,5,9
2000,11,CartPole-v1,100000.0,0.0001,0.95,5,9
2100,11,CartPole-v1,100000.0,0.0001,0.95,5,9
2200,11,CartPole-v1,100000.0,0.0001,0.95,5,9
2300,11,CartPole-v1,100000.0,0.0001,0.95,5,9
2400,11,CartPole-v1,100000.0,0.0001,0.95,5,9
2500,12,CartPole-v1,100000.0,0.0001,0.95,5,9
2600,12,CartPole-v1,100000.0,0.0001,0.95,5,9
2700,14,CartPole-v1,100000.0,0.0001,0.95,5,9
2800,16,CartPole-v1,100000.0,0.0001,0.95,5,9
2900,20,CartPole-v1,100000.0,0.0001,0.95,5,9
3000,22,CartPole-v1,100000.0,0.0001,0.95,5,9
3100,25,CartPole-v1,100000.0,0.0001,0.95,5,9
3200,23,CartPole-v1,100000.0,0.0001,0.95,5,9
3300,23,CartPole-v1,100000.0,0.0001,0.95,5,9
3400,19,CartPole-v1,100000.0,0.0001,0.95,5,9
3500,20,CartPole-v1,100000.0,0.0001,0.95,5,9
3600,23,CartPole-v1,100000.0,0.0001,0.95,5,9
3700,24,CartPole-v1,100000.0,0.0001,0.95,5,9
3800,25,CartPole-v1,100000.0,0.0001,0.95,5,9
3900,28,CartPole-v1,100000.0,0.0001,0.95,5,9
4000,24,CartPole-v1,100000.0,0.0001,0.95,5,9
4100,26,CartPole-v1,100000.0,0.0001,0.95,5,9
4200,24,CartPole-v1,100000.0,0.0001,0.95,5,9
4300,26,CartPole-v1,100000.0,0.0001,0.95,5,9
4400,30,CartPole-v1,100000.0,0.0001,0.95,5,9
4500,31,CartPole-v1,100000.0,0.0001,0.95,5,9
4600,29,CartPole-v1,100000.0,0.0001,0.95,5,9
4700,31,CartPole-v1,100000.0,0.0001,0.95,5,9
4800,35,CartPole-v1,100000.0,0.0001,0.95,5,9
4900,33,CartPole-v1,100000.0,0.0001,0.95,5,9
5000,39,CartPole-v1,100000.0,0.0001,0.95,5,9
5100,38,CartPole-v1,100000.0,0.0001,0.95,5,9
5200,43,CartPole-v1,100000.0,0.0001,0.95,5,9
5300,48,CartPole-v1,100000.0,0.0001,0.95,5,9
5400,44,CartPole-v1,100000.0,0.0001,0.95,5,9
5500,51,CartPole-v1,100000.0,0.0001,0.95,5,9
5600,51,CartPole-v1,100000.0,0.0001,0.95,5,9
5700,53,CartPole-v1,100000.0,0.0001,0.95,5,9
5800,61,CartPole-v1,100000.0,0.0001,0.95,5,9
5900,60,CartPole-v1,100000.0,0.0001,0.95,5,9
6000,64,CartPole-v1,100000.0,0.0001,0.95,5,9
6100,69,CartPole-v1,100000.0,0.0001,0.95,5,9
6200,76,CartPole-v1,100000.0,0.0001,0.95,5,9
6300,88,CartPole-v1,100000.0,0.0001,0.95,5,9
6400,90,CartPole-v1,100000.0,0.0001,0.95,5,9
6500,94,CartPole-v1,100000.0,0.0001,0.95,5,9
6600,117,CartPole-v1,100000.0,0.0001,0.95,5,9
6700,125,CartPole-v1,100000.0,0.0001,0.95,5,9
6800,436,CartPole-v1,100000.0,0.0001,0.95,5,9
6900,498,CartPole-v1,100000.0,0.0001,0.95,5,9
7000,500,CartPole-v1,100000.0,0.0001,0.95,5,9
7100,500,CartPole-v1,100000.0,0.0001,0.95,5,9
7200,491,CartPole-v1,100000.0,0.0001,0.95,5,9
7300,51,CartPole-v1,100000.0,0.0001,0.95,5,9
7400,38,CartPole-v1,100000.0,0.0001,0.95,5,9
7500,40,CartPole-v1,100000.0,0.0001,0.95,5,9
7600,38,CartPole-v1,100000.0,0.0001,0.95,5,9
7700,45,CartPole-v1,100000.0,0.0001,0.95,5,9
7800,75,CartPole-v1,100000.0,0.0001,0.95,5,9
7900,316,CartPole-v1,100000.0,0.0001,0.95,5,9
8000,49,CartPole-v1,100000.0,0.0001,0.95,5,9
8100,23,CartPole-v1,100000.0,0.0001,0.95,5,9
8200,27,CartPole-v1,100000.0,0.0001,0.95,5,9
8300,31,CartPole-v1,100000.0,0.0001,0.95,5,9
8400,60,CartPole-v1,100000.0,0.0001,0.95,5,9
8500,315,CartPole-v1,100000.0,0.0001,0.95,5,9
8600,193,CartPole-v1,100000.0,0.0001,0.95,5,9
8700,35,CartPole-v1,100000.0,0.0001,0.95,5,9
8800,29,CartPole-v1,100000.0,0.0001,0.95,5,9
8900,25,CartPole-v1,100000.0,0.0001,0.95,5,9
9000,25,CartPole-v1,100000.0,0.0001,0.95,5,9
9100,27,CartPole-v1,100000.0,0.0001,0.95,5,9
9200,27,CartPole-v1,100000.0,0.0001,0.95,5,9
9300,33,CartPole-v1,100000.0,0.0001,0.95,5,9
9400,50,CartPole-v1,100000.0,0.0001,0.95,5,9
9500,84,CartPole-v1,100000.0,0.0001,0.95,5,9
9600,244,CartPole-v1,100000.0,0.0001,0.95,5,9
9700,72,CartPole-v1,100000.0,0.0001,0.95,5,9
9800,31,CartPole-v1,100000.0,0.0001,0.95,5,9
9900,30,CartPole-v1,100000.0,0.0001,0.95,5,9
10000,25,CartPole-v1,100000.0,0.0001,0.95,5,9
10100,38,CartPole-v1,100000.0,0.0001,0.95,5,9
10200,60,CartPole-v1,100000.0,0.0001,0.95,5,9
10300,73,CartPole-v1,100000.0,0.0001,0.95,5,9
10400,56,CartPole-v1,100000.0,0.0001,0.95,5,9
10500,66,CartPole-v1,100000.0,0.0001,0.95,5,9
10600,78,CartPole-v1,100000.0,0.0001,0.95,5,9
10700,91,CartPole-v1,100000.0,0.0001,0.95,5,9
10800,77,CartPole-v1,100000.0,0.0001,0.95,5,9
10900,79,CartPole-v1,100000.0,0.0001,0.95,5,9
11000,65,CartPole-v1,100000.0,0.0001,0.95,5,9
11100,83,CartPole-v1,100000.0,0.0001,0.95,5,9
11200,76,CartPole-v1,100000.0,0.0001,0.95,5,9
11300,73,CartPole-v1,100000.0,0.0001,0.95,5,9
11400,85,CartPole-v1,100000.0,0.0001,0.95,5,9
11500,89,CartPole-v1,100000.0,0.0001,0.95,5,9
11600,90,CartPole-v1,100000.0,0.0001,0.95,5,9
11700,90,CartPole-v1,100000.0,0.0001,0.95,5,9
11800,94,CartPole-v1,100000.0,0.0001,0.95,5,9
11900,93,CartPole-v1,100000.0,0.0001,0.95,5,9
12000,95,CartPole-v1,100000.0,0.0001,0.95,5,9
12100,94,CartPole-v1,100000.0,0.0001,0.95,5,9
12200,95,CartPole-v1,100000.0,0.0001,0.95,5,9
12300,100,CartPole-v1,100000.0,0.0001,0.95,5,9
12400,99,CartPole-v1,100000.0,0.0001,0.95,5,9
12500,109,CartPole-v1,100000.0,0.0001,0.95,5,9
12600,137,CartPole-v1,100000.0,0.0001,0.95,5,9
12700,258,CartPole-v1,100000.0,0.0001,0.95,5,9
12800,146,CartPole-v1,100000.0,0.0001,0.95,5,9
12900,49,CartPole-v1,100000.0,0.0001,0.95,5,9
13000,30,CartPole-v1,100000.0,0.0001,0.95,5,9
13100,29,CartPole-v1,100000.0,0.0001,0.95,5,9
13200,29,CartPole-v1,100000.0,0.0001,0.95,5,9
13300,28,CartPole-v1,100000.0,0.0001,0.95,5,9
13400,37,CartPole-v1,100000.0,0.0001,0.95,5,9
13500,44,CartPole-v1,100000.0,0.0001,0.95,5,9
13600,80,CartPole-v1,100000.0,0.0001,0.95,5,9
