Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,13,CartPole-v1,100000.0,0.001,0.99,5,7
200,9,CartPole-v1,100000.0,0.001,0.99,5,7
300,9,CartPole-v1,100000.0,0.001,0.99,5,7
400,9,CartPole-v1,100000.0,0.001,0.99,5,7
500,9,CartPole-v1,100000.0,0.001,0.99,5,7
600,9,CartPole-v1,100000.0,0.001,0.99,5,7
700,9,CartPole-v1,100000.0,0.001,0.99,5,7
800,9,CartPole-v1,100000.0,0.001,0.99,5,7
900,14,CartPole-v1,100000.0,0.001,0.99,5,7
1000,18,CartPole-v1,100000.0,0.001,0.99,5,7
1100,27,CartPole-v1,100000.0,0.001,0.99,5,7
1200,42,CartPole-v1,100000.0,0.001,0.99,5,7
1300,52,CartPole-v1,100000.0,0.001,0.99,5,7
1400,61,CartPole-v1,100000.0,0.001,0.99,5,7
1500,73,CartPole-v1,100000.0,0.001,0.99,5,7
1600,181,CartPole-v1,100000.0,0.001,0.99,5,7
1700,264,CartPole-v1,100000.0,0.001,0.99,5,7
1800,165,CartPole-v1,100000.0,0.001,0.99,5,7
1900,101,CartPole-v1,100000.0,0.001,0.99,5,7
2000,155,CartPole-v1,100000.0,0.001,0.99,5,7
2100,193,CartPole-v1,100000.0,0.001,0.99,5,7
2200,176,CartPole-v1,100000.0,0.001,0.99,5,7
2300,213,CartPole-v1,100000.0,0.001,0.99,5,7
2400,149,CartPole-v1,100000.0,0.001,0.99,5,7
2500,43,CartPole-v1,100000.0,0.001,0.99,5,7
2600,136,CartPole-v1,100000.0,0.001,0.99,5,7
2700,119,CartPole-v1,100000.0,0.001,0.99,5,7
2800,205,CartPole-v1,100000.0,0.001,0.99,5,7
2900,92,CartPole-v1,100000.0,0.001,0.99,5,7
3000,332,CartPole-v1,100000.0,0.001,0.99,5,7
3100,500,CartPole-v1,100000.0,0.001,0.99,5,7
3200,500,CartPole-v1,100000.0,0.001,0.99,5,7
3300,500,CartPole-v1,100000.0,0.001,0.99,5,7
3400,393,CartPole-v1,100000.0,0.001,0.99,5,7
3500,51,CartPole-v1,100000.0,0.001,0.99,5,7
3600,244,CartPole-v1,100000.0,0.001,0.99,5,7
3700,152,CartPole-v1,100000.0,0.001,0.99,5,7
3800,147,CartPole-v1,100000.0,0.001,0.99,5,7
3900,242,CartPole-v1,100000.0,0.001,0.99,5,7
4000,64,CartPole-v1,100000.0,0.001,0.99,5,7
4100,192,CartPole-v1,100000.0,0.001,0.99,5,7
4200,461,CartPole-v1,100000.0,0.001,0.99,5,7
4300,151,CartPole-v1,100000.0,0.001,0.99,5,7
4400,165,CartPole-v1,100000.0,0.001,0.99,5,7
4500,314,CartPole-v1,100000.0,0.001,0.99,5,7
4600,186,CartPole-v1,100000.0,0.001,0.99,5,7
4700,237,CartPole-v1,100000.0,0.001,0.99,5,7
4800,273,CartPole-v1,100000.0,0.001,0.99,5,7
4900,270,CartPole-v1,100000.0,0.001,0.99,5,7
5000,178,CartPole-v1,100000.0,0.001,0.99,5,7
5100,299,CartPole-v1,100000.0,0.001,0.99,5,7
5200,299,CartPole-v1,100000.0,0.001,0.99,5,7
5300,98,CartPole-v1,100000.0,0.001,0.99,5,7
5400,33,CartPole-v1,100000.0,0.001,0.99,5,7
5500,12,CartPole-v1,100000.0,0.001,0.99,5,7
5600,55,CartPole-v1,100000.0,0.001,0.99,5,7
5700,275,CartPole-v1,100000.0,0.001,0.99,5,7
5800,265,CartPole-v1,100000.0,0.001,0.99,5,7
5900,357,CartPole-v1,100000.0,0.001,0.99,5,7
6000,188,CartPole-v1,100000.0,0.001,0.99,5,7
6100,9,CartPole-v1,100000.0,0.001,0.99,5,7
6200,9,CartPole-v1,100000.0,0.001,0.99,5,7
6300,9,CartPole-v1,100000.0,0.001,0.99,5,7
6400,32,CartPole-v1,100000.0,0.001,0.99,5,7
6500,37,CartPole-v1,100000.0,0.001,0.99,5,7
6600,155,CartPole-v1,100000.0,0.001,0.99,5,7
6700,138,CartPole-v1,100000.0,0.001,0.99,5,7
6800,259,CartPole-v1,100000.0,0.001,0.99,5,7
6900,193,CartPole-v1,100000.0,0.001,0.99,5,7
7000,25,CartPole-v1,100000.0,0.001,0.99,5,7
7100,13,CartPole-v1,100000.0,0.001,0.99,5,7
7200,141,CartPole-v1,100000.0,0.001,0.99,5,7
7300,117,CartPole-v1,100000.0,0.001,0.99,5,7
7400,229,CartPole-v1,100000.0,0.001,0.99,5,7
7500,187,CartPole-v1,100000.0,0.001,0.99,5,7
7600,456,CartPole-v1,100000.0,0.001,0.99,5,7
7700,149,CartPole-v1,100000.0,0.001,0.99,5,7
7800,130,CartPole-v1,100000.0,0.001,0.99,5,7
7900,279,CartPole-v1,100000.0,0.001,0.99,5,7
8000,302,CartPole-v1,100000.0,0.001,0.99,5,7
8100,70,CartPole-v1,100000.0,0.001,0.99,5,7
8200,268,CartPole-v1,100000.0,0.001,0.99,5,7
8300,86,CartPole-v1,100000.0,0.001,0.99,5,7
8400,262,CartPole-v1,100000.0,0.001,0.99,5,7
8500,164,CartPole-v1,100000.0,0.001,0.99,5,7
8600,388,CartPole-v1,100000.0,0.001,0.99,5,7
8700,328,CartPole-v1,100000.0,0.001,0.99,5,7
8800,133,CartPole-v1,100000.0,0.001,0.99,5,7
8900,165,CartPole-v1,100000.0,0.001,0.99,5,7
9000,371,CartPole-v1,100000.0,0.001,0.99,5,7
9100,500,CartPole-v1,100000.0,0.001,0.99,5,7
9200,500,CartPole-v1,100000.0,0.001,0.99,5,7
9300,500,CartPole-v1,100000.0,0.001,0.99,5,7
9400,500,CartPole-v1,100000.0,0.001,0.99,5,7
9500,500,CartPole-v1,100000.0,0.001,0.99,5,7
9600,500,CartPole-v1,100000.0,0.001,0.99,5,7
9700,500,CartPole-v1,100000.0,0.001,0.99,5,7
9800,500,CartPole-v1,100000.0,0.001,0.99,5,7
9900,500,CartPole-v1,100000.0,0.001,0.99,5,7
10000,377,CartPole-v1,100000.0,0.001,0.99,5,7
10100,180,CartPole-v1,100000.0,0.001,0.99,5,7
10200,64,CartPole-v1,100000.0,0.001,0.99,5,7
10300,276,CartPole-v1,100000.0,0.001,0.99,5,7
10400,322,CartPole-v1,100000.0,0.001,0.99,5,7
10500,339,CartPole-v1,100000.0,0.001,0.99,5,7
10600,231,CartPole-v1,100000.0,0.001,0.99,5,7
10700,240,CartPole-v1,100000.0,0.001,0.99,5,7
10800,244,CartPole-v1,100000.0,0.001,0.99,5,7
10900,165,CartPole-v1,100000.0,0.001,0.99,5,7
11000,61,CartPole-v1,100000.0,0.001,0.99,5,7
11100,202,CartPole-v1,100000.0,0.001,0.99,5,7
11200,377,CartPole-v1,100000.0,0.001,0.99,5,7
11300,198,CartPole-v1,100000.0,0.001,0.99,5,7
