Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,13,CartPole-v1,100000.0,0.005,0.99,4,8
200,14,CartPole-v1,100000.0,0.005,0.99,4,8
300,16,CartPole-v1,100000.0,0.005,0.99,4,8
400,17,CartPole-v1,100000.0,0.005,0.99,4,8
500,16,CartPole-v1,100000.0,0.005,0.99,4,8
600,19,CartPole-v1,100000.0,0.005,0.99,4,8
700,22,CartPole-v1,100000.0,0.005,0.99,4,8
800,20,CartPole-v1,100000.0,0.005,0.99,4,8
900,19,CartPole-v1,100000.0,0.005,0.99,4,8
1000,20,CartPole-v1,100000.0,0.005,0.99,4,8
1100,18,CartPole-v1,100000.0,0.005,0.99,4,8
1200,21,CartPole-v1,100000.0,0.005,0.99,4,8
1300,19,CartPole-v1,100000.0,0.005,0.99,4,8
1400,20,CartPole-v1,100000.0,0.005,0.99,4,8
1500,16,CartPole-v1,100000.0,0.005,0.99,4,8
1600,19,CartPole-v1,100000.0,0.005,0.99,4,8
1700,15,CartPole-v1,100000.0,0.005,0.99,4,8
1800,16,CartPole-v1,100000.0,0.005,0.99,4,8
1900,17,CartPole-v1,100000.0,0.005,0.99,4,8
2000,18,CartPole-v1,100000.0,0.005,0.99,4,8
2100,24,CartPole-v1,100000.0,0.005,0.99,4,8
2200,20,CartPole-v1,100000.0,0.005,0.99,4,8
2300,21,CartPole-v1,100000.0,0.005,0.99,4,8
2400,18,CartPole-v1,100000.0,0.005,0.99,4,8
2500,20,CartPole-v1,100000.0,0.005,0.99,4,8
2600,19,CartPole-v1,100000.0,0.005,0.99,4,8
2700,21,CartPole-v1,100000.0,0.005,0.99,4,8
2800,23,CartPole-v1,100000.0,0.005,0.99,4,8
2900,25,CartPole-v1,100000.0,0.005,0.99,4,8
3000,21,CartPole-v1,100000.0,0.005,0.99,4,8
3100,26,CartPole-v1,100000.0,0.005,0.99,4,8
3200,25,CartPole-v1,100000.0,0.005,0.99,4,8
3300,24,CartPole-v1,100000.0,0.005,0.99,4,8
3400,20,CartPole-v1,100000.0,0.005,0.99,4,8
3500,25,CartPole-v1,100000.0,0.005,0.99,4,8
