Episode,Average Reward,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
100,21,CartPole-v1,100000.0,0.0001,0.99,4,3
200,18,CartPole-v1,100000.0,0.0001,0.99,4,3
300,20,CartPole-v1,100000.0,0.0001,0.99,4,3
400,18,CartPole-v1,100000.0,0.0001,0.99,4,3
500,19,CartPole-v1,100000.0,0.0001,0.99,4,3
600,20,CartPole-v1,100000.0,0.0001,0.99,4,3
700,20,CartPole-v1,100000.0,0.0001,0.99,4,3
800,19,CartPole-v1,100000.0,0.0001,0.99,4,3
900,17,CartPole-v1,100000.0,0.0001,0.99,4,3
1000,19,CartPole-v1,100000.0,0.0001,0.99,4,3
1100,18,CartPole-v1,100000.0,0.0001,0.99,4,3
1200,17,CartPole-v1,100000.0,0.0001,0.99,4,3
1300,17,CartPole-v1,100000.0,0.0001,0.99,4,3
1400,18,CartPole-v1,100000.0,0.0001,0.99,4,3
1500,16,CartPole-v1,100000.0,0.0001,0.99,4,3
1600,16,CartPole-v1,100000.0,0.0001,0.99,4,3
1700,15,CartPole-v1,100000.0,0.0001,0.99,4,3
1800,17,CartPole-v1,100000.0,0.0001,0.99,4,3
1900,16,CartPole-v1,100000.0,0.0001,0.99,4,3
2000,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2100,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2200,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2300,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2400,18,CartPole-v1,100000.0,0.0001,0.99,4,3
2500,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2600,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2700,18,CartPole-v1,100000.0,0.0001,0.99,4,3
2800,17,CartPole-v1,100000.0,0.0001,0.99,4,3
2900,18,CartPole-v1,100000.0,0.0001,0.99,4,3
3000,18,CartPole-v1,100000.0,0.0001,0.99,4,3
3100,19,CartPole-v1,100000.0,0.0001,0.99,4,3
3200,18,CartPole-v1,100000.0,0.0001,0.99,4,3
3300,18,CartPole-v1,100000.0,0.0001,0.99,4,3
3400,17,CartPole-v1,100000.0,0.0001,0.99,4,3
3500,17,CartPole-v1,100000.0,0.0001,0.99,4,3
3600,17,CartPole-v1,100000.0,0.0001,0.99,4,3
3700,17,CartPole-v1,100000.0,0.0001,0.99,4,3
3800,18,CartPole-v1,100000.0,0.0001,0.99,4,3
3900,18,CartPole-v1,100000.0,0.0001,0.99,4,3
4000,17,CartPole-v1,100000.0,0.0001,0.99,4,3
4100,17,CartPole-v1,100000.0,0.0001,0.99,4,3
4200,17,CartPole-v1,100000.0,0.0001,0.99,4,3
4300,20,CartPole-v1,100000.0,0.0001,0.99,4,3
4400,18,CartPole-v1,100000.0,0.0001,0.99,4,3
4500,20,CartPole-v1,100000.0,0.0001,0.99,4,3
4600,20,CartPole-v1,100000.0,0.0001,0.99,4,3
4700,18,CartPole-v1,100000.0,0.0001,0.99,4,3
4800,19,CartPole-v1,100000.0,0.0001,0.99,4,3
4900,21,CartPole-v1,100000.0,0.0001,0.99,4,3
5000,21,CartPole-v1,100000.0,0.0001,0.99,4,3
5100,20,CartPole-v1,100000.0,0.0001,0.99,4,3
5200,22,CartPole-v1,100000.0,0.0001,0.99,4,3
5300,20,CartPole-v1,100000.0,0.0001,0.99,4,3
5400,21,CartPole-v1,100000.0,0.0001,0.99,4,3
5500,20,CartPole-v1,100000.0,0.0001,0.99,4,3
5600,20,CartPole-v1,100000.0,0.0001,0.99,4,3
5700,22,CartPole-v1,100000.0,0.0001,0.99,4,3
5800,22,CartPole-v1,100000.0,0.0001,0.99,4,3
5900,22,CartPole-v1,100000.0,0.0001,0.99,4,3
6000,20,CartPole-v1,100000.0,0.0001,0.99,4,3
6100,20,CartPole-v1,100000.0,0.0001,0.99,4,3
6200,23,CartPole-v1,100000.0,0.0001,0.99,4,3
6300,20,CartPole-v1,100000.0,0.0001,0.99,4,3
6400,23,CartPole-v1,100000.0,0.0001,0.99,4,3
6500,23,CartPole-v1,100000.0,0.0001,0.99,4,3
6600,23,CartPole-v1,100000.0,0.0001,0.99,4,3
