Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
1,9.0,CartPole-v1,100000.0,0.0001,0.99,9
2,16.0,CartPole-v1,100000.0,0.0001,0.99,9
3,13.0,CartPole-v1,100000.0,0.0001,0.99,9
4,15.0,CartPole-v1,100000.0,0.0001,0.99,9
5,15.0,CartPole-v1,100000.0,0.0001,0.99,9
6,10.0,CartPole-v1,100000.0,0.0001,0.99,9
7,17.0,CartPole-v1,100000.0,0.0001,0.99,9
8,17.0,CartPole-v1,100000.0,0.0001,0.99,9
9,37.0,CartPole-v1,100000.0,0.0001,0.99,9
10,18.0,CartPole-v1,100000.0,0.0001,0.99,9
11,96.0,CartPole-v1,100000.0,0.0001,0.99,9
12,18.0,CartPole-v1,100000.0,0.0001,0.99,9
13,14.0,CartPole-v1,100000.0,0.0001,0.99,9
14,12.0,CartPole-v1,100000.0,0.0001,0.99,9
15,31.0,CartPole-v1,100000.0,0.0001,0.99,9
16,12.0,CartPole-v1,100000.0,0.0001,0.99,9
17,15.0,CartPole-v1,100000.0,0.0001,0.99,9
18,29.0,CartPole-v1,100000.0,0.0001,0.99,9
19,16.0,CartPole-v1,100000.0,0.0001,0.99,9
20,19.0,CartPole-v1,100000.0,0.0001,0.99,9
21,37.0,CartPole-v1,100000.0,0.0001,0.99,9
22,29.0,CartPole-v1,100000.0,0.0001,0.99,9
23,14.0,CartPole-v1,100000.0,0.0001,0.99,9
24,21.0,CartPole-v1,100000.0,0.0001,0.99,9
25,23.0,CartPole-v1,100000.0,0.0001,0.99,9
26,40.0,CartPole-v1,100000.0,0.0001,0.99,9
27,22.0,CartPole-v1,100000.0,0.0001,0.99,9
28,14.0,CartPole-v1,100000.0,0.0001,0.99,9
29,48.0,CartPole-v1,100000.0,0.0001,0.99,9
30,21.0,CartPole-v1,100000.0,0.0001,0.99,9
31,19.0,CartPole-v1,100000.0,0.0001,0.99,9
32,16.0,CartPole-v1,100000.0,0.0001,0.99,9
33,14.0,CartPole-v1,100000.0,0.0001,0.99,9
34,15.0,CartPole-v1,100000.0,0.0001,0.99,9
35,15.0,CartPole-v1,100000.0,0.0001,0.99,9
36,24.0,CartPole-v1,100000.0,0.0001,0.99,9
37,18.0,CartPole-v1,100000.0,0.0001,0.99,9
38,14.0,CartPole-v1,100000.0,0.0001,0.99,9
39,13.0,CartPole-v1,100000.0,0.0001,0.99,9
40,15.0,CartPole-v1,100000.0,0.0001,0.99,9
41,39.0,CartPole-v1,100000.0,0.0001,0.99,9
42,19.0,CartPole-v1,100000.0,0.0001,0.99,9
43,43.0,CartPole-v1,100000.0,0.0001,0.99,9
44,23.0,CartPole-v1,100000.0,0.0001,0.99,9
45,22.0,CartPole-v1,100000.0,0.0001,0.99,9
46,27.0,CartPole-v1,100000.0,0.0001,0.99,9
47,25.0,CartPole-v1,100000.0,0.0001,0.99,9
48,22.0,CartPole-v1,100000.0,0.0001,0.99,9
49,29.0,CartPole-v1,100000.0,0.0001,0.99,9
50,39.0,CartPole-v1,100000.0,0.0001,0.99,9
51,11.0,CartPole-v1,100000.0,0.0001,0.99,9
52,25.0,CartPole-v1,100000.0,0.0001,0.99,9
53,34.0,CartPole-v1,100000.0,0.0001,0.99,9
54,14.0,CartPole-v1,100000.0,0.0001,0.99,9
55,36.0,CartPole-v1,100000.0,0.0001,0.99,9
56,77.0,CartPole-v1,100000.0,0.0001,0.99,9
57,10.0,CartPole-v1,100000.0,0.0001,0.99,9
58,36.0,CartPole-v1,100000.0,0.0001,0.99,9
59,73.0,CartPole-v1,100000.0,0.0001,0.99,9
60,17.0,CartPole-v1,100000.0,0.0001,0.99,9
61,11.0,CartPole-v1,100000.0,0.0001,0.99,9
62,49.0,CartPole-v1,100000.0,0.0001,0.99,9
63,18.0,CartPole-v1,100000.0,0.0001,0.99,9
64,25.0,CartPole-v1,100000.0,0.0001,0.99,9
65,11.0,CartPole-v1,100000.0,0.0001,0.99,9
66,12.0,CartPole-v1,100000.0,0.0001,0.99,9
67,22.0,CartPole-v1,100000.0,0.0001,0.99,9
68,33.0,CartPole-v1,100000.0,0.0001,0.99,9
69,16.0,CartPole-v1,100000.0,0.0001,0.99,9
70,25.0,CartPole-v1,100000.0,0.0001,0.99,9
71,10.0,CartPole-v1,100000.0,0.0001,0.99,9
72,13.0,CartPole-v1,100000.0,0.0001,0.99,9
73,16.0,CartPole-v1,100000.0,0.0001,0.99,9
74,22.0,CartPole-v1,100000.0,0.0001,0.99,9
75,12.0,CartPole-v1,100000.0,0.0001,0.99,9
76,14.0,CartPole-v1,100000.0,0.0001,0.99,9
77,21.0,CartPole-v1,100000.0,0.0001,0.99,9
78,12.0,CartPole-v1,100000.0,0.0001,0.99,9
79,31.0,CartPole-v1,100000.0,0.0001,0.99,9
80,27.0,CartPole-v1,100000.0,0.0001,0.99,9
81,19.0,CartPole-v1,100000.0,0.0001,0.99,9
82,11.0,CartPole-v1,100000.0,0.0001,0.99,9
83,22.0,CartPole-v1,100000.0,0.0001,0.99,9
84,17.0,CartPole-v1,100000.0,0.0001,0.99,9
85,12.0,CartPole-v1,100000.0,0.0001,0.99,9
86,14.0,CartPole-v1,100000.0,0.0001,0.99,9
87,30.0,CartPole-v1,100000.0,0.0001,0.99,9
88,15.0,CartPole-v1,100000.0,0.0001,0.99,9
89,34.0,CartPole-v1,100000.0,0.0001,0.99,9
90,15.0,CartPole-v1,100000.0,0.0001,0.99,9
91,35.0,CartPole-v1,100000.0,0.0001,0.99,9
92,19.0,CartPole-v1,100000.0,0.0001,0.99,9
93,28.0,CartPole-v1,100000.0,0.0001,0.99,9
94,50.0,CartPole-v1,100000.0,0.0001,0.99,9
95,31.0,CartPole-v1,100000.0,0.0001,0.99,9
96,18.0,CartPole-v1,100000.0,0.0001,0.99,9
97,23.0,CartPole-v1,100000.0,0.0001,0.99,9
98,35.0,CartPole-v1,100000.0,0.0001,0.99,9
99,20.0,CartPole-v1,100000.0,0.0001,0.99,9
100,25.0,CartPole-v1,100000.0,0.0001,0.99,9
101,30.0,CartPole-v1,100000.0,0.0001,0.99,9
102,19.0,CartPole-v1,100000.0,0.0001,0.99,9
103,17.0,CartPole-v1,100000.0,0.0001,0.99,9
104,13.0,CartPole-v1,100000.0,0.0001,0.99,9
105,17.0,CartPole-v1,100000.0,0.0001,0.99,9
106,61.0,CartPole-v1,100000.0,0.0001,0.99,9
107,40.0,CartPole-v1,100000.0,0.0001,0.99,9
108,21.0,CartPole-v1,100000.0,0.0001,0.99,9
109,12.0,CartPole-v1,100000.0,0.0001,0.99,9
110,14.0,CartPole-v1,100000.0,0.0001,0.99,9
111,12.0,CartPole-v1,100000.0,0.0001,0.99,9
112,20.0,CartPole-v1,100000.0,0.0001,0.99,9
113,24.0,CartPole-v1,100000.0,0.0001,0.99,9
114,13.0,CartPole-v1,100000.0,0.0001,0.99,9
115,32.0,CartPole-v1,100000.0,0.0001,0.99,9
116,11.0,CartPole-v1,100000.0,0.0001,0.99,9
117,29.0,CartPole-v1,100000.0,0.0001,0.99,9
118,15.0,CartPole-v1,100000.0,0.0001,0.99,9
119,13.0,CartPole-v1,100000.0,0.0001,0.99,9
120,29.0,CartPole-v1,100000.0,0.0001,0.99,9
121,20.0,CartPole-v1,100000.0,0.0001,0.99,9
122,12.0,CartPole-v1,100000.0,0.0001,0.99,9
123,28.0,CartPole-v1,100000.0,0.0001,0.99,9
124,23.0,CartPole-v1,100000.0,0.0001,0.99,9
125,21.0,CartPole-v1,100000.0,0.0001,0.99,9
126,50.0,CartPole-v1,100000.0,0.0001,0.99,9
127,16.0,CartPole-v1,100000.0,0.0001,0.99,9
128,38.0,CartPole-v1,100000.0,0.0001,0.99,9
129,32.0,CartPole-v1,100000.0,0.0001,0.99,9
130,31.0,CartPole-v1,100000.0,0.0001,0.99,9
131,26.0,CartPole-v1,100000.0,0.0001,0.99,9
132,30.0,CartPole-v1,100000.0,0.0001,0.99,9
133,15.0,CartPole-v1,100000.0,0.0001,0.99,9
134,28.0,CartPole-v1,100000.0,0.0001,0.99,9
135,10.0,CartPole-v1,100000.0,0.0001,0.99,9
136,14.0,CartPole-v1,100000.0,0.0001,0.99,9
137,13.0,CartPole-v1,100000.0,0.0001,0.99,9
138,17.0,CartPole-v1,100000.0,0.0001,0.99,9
139,20.0,CartPole-v1,100000.0,0.0001,0.99,9
140,22.0,CartPole-v1,100000.0,0.0001,0.99,9
141,20.0,CartPole-v1,100000.0,0.0001,0.99,9
142,12.0,CartPole-v1,100000.0,0.0001,0.99,9
143,14.0,CartPole-v1,100000.0,0.0001,0.99,9
144,13.0,CartPole-v1,100000.0,0.0001,0.99,9
145,35.0,CartPole-v1,100000.0,0.0001,0.99,9
146,13.0,CartPole-v1,100000.0,0.0001,0.99,9
147,17.0,CartPole-v1,100000.0,0.0001,0.99,9
148,24.0,CartPole-v1,100000.0,0.0001,0.99,9
149,14.0,CartPole-v1,100000.0,0.0001,0.99,9
150,16.0,CartPole-v1,100000.0,0.0001,0.99,9
151,15.0,CartPole-v1,100000.0,0.0001,0.99,9
152,28.0,CartPole-v1,100000.0,0.0001,0.99,9
153,14.0,CartPole-v1,100000.0,0.0001,0.99,9
154,16.0,CartPole-v1,100000.0,0.0001,0.99,9
155,15.0,CartPole-v1,100000.0,0.0001,0.99,9
156,12.0,CartPole-v1,100000.0,0.0001,0.99,9
157,13.0,CartPole-v1,100000.0,0.0001,0.99,9
158,38.0,CartPole-v1,100000.0,0.0001,0.99,9
159,22.0,CartPole-v1,100000.0,0.0001,0.99,9
160,15.0,CartPole-v1,100000.0,0.0001,0.99,9
161,12.0,CartPole-v1,100000.0,0.0001,0.99,9
162,16.0,CartPole-v1,100000.0,0.0001,0.99,9
163,20.0,CartPole-v1,100000.0,0.0001,0.99,9
164,14.0,CartPole-v1,100000.0,0.0001,0.99,9
165,16.0,CartPole-v1,100000.0,0.0001,0.99,9
166,51.0,CartPole-v1,100000.0,0.0001,0.99,9
167,27.0,CartPole-v1,100000.0,0.0001,0.99,9
168,12.0,CartPole-v1,100000.0,0.0001,0.99,9
169,42.0,CartPole-v1,100000.0,0.0001,0.99,9
170,67.0,CartPole-v1,100000.0,0.0001,0.99,9
171,42.0,CartPole-v1,100000.0,0.0001,0.99,9
172,20.0,CartPole-v1,100000.0,0.0001,0.99,9
173,11.0,CartPole-v1,100000.0,0.0001,0.99,9
174,16.0,CartPole-v1,100000.0,0.0001,0.99,9
175,20.0,CartPole-v1,100000.0,0.0001,0.99,9
176,24.0,CartPole-v1,100000.0,0.0001,0.99,9
177,24.0,CartPole-v1,100000.0,0.0001,0.99,9
178,9.0,CartPole-v1,100000.0,0.0001,0.99,9
179,10.0,CartPole-v1,100000.0,0.0001,0.99,9
180,18.0,CartPole-v1,100000.0,0.0001,0.99,9
181,25.0,CartPole-v1,100000.0,0.0001,0.99,9
182,30.0,CartPole-v1,100000.0,0.0001,0.99,9
183,31.0,CartPole-v1,100000.0,0.0001,0.99,9
184,14.0,CartPole-v1,100000.0,0.0001,0.99,9
185,16.0,CartPole-v1,100000.0,0.0001,0.99,9
186,41.0,CartPole-v1,100000.0,0.0001,0.99,9
187,9.0,CartPole-v1,100000.0,0.0001,0.99,9
188,12.0,CartPole-v1,100000.0,0.0001,0.99,9
189,12.0,CartPole-v1,100000.0,0.0001,0.99,9
190,50.0,CartPole-v1,100000.0,0.0001,0.99,9
191,14.0,CartPole-v1,100000.0,0.0001,0.99,9
192,19.0,CartPole-v1,100000.0,0.0001,0.99,9
193,19.0,CartPole-v1,100000.0,0.0001,0.99,9
194,60.0,CartPole-v1,100000.0,0.0001,0.99,9
195,42.0,CartPole-v1,100000.0,0.0001,0.99,9
196,12.0,CartPole-v1,100000.0,0.0001,0.99,9
197,11.0,CartPole-v1,100000.0,0.0001,0.99,9
198,14.0,CartPole-v1,100000.0,0.0001,0.99,9
199,15.0,CartPole-v1,100000.0,0.0001,0.99,9
200,22.0,CartPole-v1,100000.0,0.0001,0.99,9
201,10.0,CartPole-v1,100000.0,0.0001,0.99,9
202,12.0,CartPole-v1,100000.0,0.0001,0.99,9
203,12.0,CartPole-v1,100000.0,0.0001,0.99,9
204,17.0,CartPole-v1,100000.0,0.0001,0.99,9
205,12.0,CartPole-v1,100000.0,0.0001,0.99,9
206,13.0,CartPole-v1,100000.0,0.0001,0.99,9
207,35.0,CartPole-v1,100000.0,0.0001,0.99,9
208,17.0,CartPole-v1,100000.0,0.0001,0.99,9
209,25.0,CartPole-v1,100000.0,0.0001,0.99,9
210,14.0,CartPole-v1,100000.0,0.0001,0.99,9
211,24.0,CartPole-v1,100000.0,0.0001,0.99,9
212,15.0,CartPole-v1,100000.0,0.0001,0.99,9
213,12.0,CartPole-v1,100000.0,0.0001,0.99,9
214,28.0,CartPole-v1,100000.0,0.0001,0.99,9
215,29.0,CartPole-v1,100000.0,0.0001,0.99,9
216,20.0,CartPole-v1,100000.0,0.0001,0.99,9
217,13.0,CartPole-v1,100000.0,0.0001,0.99,9
218,13.0,CartPole-v1,100000.0,0.0001,0.99,9
219,23.0,CartPole-v1,100000.0,0.0001,0.99,9
220,22.0,CartPole-v1,100000.0,0.0001,0.99,9
221,13.0,CartPole-v1,100000.0,0.0001,0.99,9
222,9.0,CartPole-v1,100000.0,0.0001,0.99,9
223,14.0,CartPole-v1,100000.0,0.0001,0.99,9
224,18.0,CartPole-v1,100000.0,0.0001,0.99,9
225,21.0,CartPole-v1,100000.0,0.0001,0.99,9
226,23.0,CartPole-v1,100000.0,0.0001,0.99,9
227,41.0,CartPole-v1,100000.0,0.0001,0.99,9
228,15.0,CartPole-v1,100000.0,0.0001,0.99,9
229,63.0,CartPole-v1,100000.0,0.0001,0.99,9
230,19.0,CartPole-v1,100000.0,0.0001,0.99,9
231,15.0,CartPole-v1,100000.0,0.0001,0.99,9
232,23.0,CartPole-v1,100000.0,0.0001,0.99,9
233,14.0,CartPole-v1,100000.0,0.0001,0.99,9
234,22.0,CartPole-v1,100000.0,0.0001,0.99,9
235,66.0,CartPole-v1,100000.0,0.0001,0.99,9
236,27.0,CartPole-v1,100000.0,0.0001,0.99,9
237,21.0,CartPole-v1,100000.0,0.0001,0.99,9
238,13.0,CartPole-v1,100000.0,0.0001,0.99,9
239,12.0,CartPole-v1,100000.0,0.0001,0.99,9
240,12.0,CartPole-v1,100000.0,0.0001,0.99,9
241,10.0,CartPole-v1,100000.0,0.0001,0.99,9
242,12.0,CartPole-v1,100000.0,0.0001,0.99,9
243,9.0,CartPole-v1,100000.0,0.0001,0.99,9
244,27.0,CartPole-v1,100000.0,0.0001,0.99,9
245,13.0,CartPole-v1,100000.0,0.0001,0.99,9
246,17.0,CartPole-v1,100000.0,0.0001,0.99,9
247,19.0,CartPole-v1,100000.0,0.0001,0.99,9
248,30.0,CartPole-v1,100000.0,0.0001,0.99,9
249,14.0,CartPole-v1,100000.0,0.0001,0.99,9
250,31.0,CartPole-v1,100000.0,0.0001,0.99,9
251,12.0,CartPole-v1,100000.0,0.0001,0.99,9
252,18.0,CartPole-v1,100000.0,0.0001,0.99,9
253,13.0,CartPole-v1,100000.0,0.0001,0.99,9
254,38.0,CartPole-v1,100000.0,0.0001,0.99,9
255,17.0,CartPole-v1,100000.0,0.0001,0.99,9
256,17.0,CartPole-v1,100000.0,0.0001,0.99,9
257,23.0,CartPole-v1,100000.0,0.0001,0.99,9
258,24.0,CartPole-v1,100000.0,0.0001,0.99,9
259,13.0,CartPole-v1,100000.0,0.0001,0.99,9
260,12.0,CartPole-v1,100000.0,0.0001,0.99,9
261,15.0,CartPole-v1,100000.0,0.0001,0.99,9
262,35.0,CartPole-v1,100000.0,0.0001,0.99,9
263,14.0,CartPole-v1,100000.0,0.0001,0.99,9
264,24.0,CartPole-v1,100000.0,0.0001,0.99,9
265,13.0,CartPole-v1,100000.0,0.0001,0.99,9
266,17.0,CartPole-v1,100000.0,0.0001,0.99,9
267,15.0,CartPole-v1,100000.0,0.0001,0.99,9
268,18.0,CartPole-v1,100000.0,0.0001,0.99,9
269,23.0,CartPole-v1,100000.0,0.0001,0.99,9
270,43.0,CartPole-v1,100000.0,0.0001,0.99,9
271,24.0,CartPole-v1,100000.0,0.0001,0.99,9
272,18.0,CartPole-v1,100000.0,0.0001,0.99,9
273,17.0,CartPole-v1,100000.0,0.0001,0.99,9
274,10.0,CartPole-v1,100000.0,0.0001,0.99,9
275,10.0,CartPole-v1,100000.0,0.0001,0.99,9
276,12.0,CartPole-v1,100000.0,0.0001,0.99,9
277,17.0,CartPole-v1,100000.0,0.0001,0.99,9
278,35.0,CartPole-v1,100000.0,0.0001,0.99,9
279,15.0,CartPole-v1,100000.0,0.0001,0.99,9
280,12.0,CartPole-v1,100000.0,0.0001,0.99,9
281,12.0,CartPole-v1,100000.0,0.0001,0.99,9
282,34.0,CartPole-v1,100000.0,0.0001,0.99,9
283,17.0,CartPole-v1,100000.0,0.0001,0.99,9
284,13.0,CartPole-v1,100000.0,0.0001,0.99,9
285,17.0,CartPole-v1,100000.0,0.0001,0.99,9
286,37.0,CartPole-v1,100000.0,0.0001,0.99,9
287,14.0,CartPole-v1,100000.0,0.0001,0.99,9
288,11.0,CartPole-v1,100000.0,0.0001,0.99,9
289,14.0,CartPole-v1,100000.0,0.0001,0.99,9
290,15.0,CartPole-v1,100000.0,0.0001,0.99,9
291,19.0,CartPole-v1,100000.0,0.0001,0.99,9
292,16.0,CartPole-v1,100000.0,0.0001,0.99,9
293,11.0,CartPole-v1,100000.0,0.0001,0.99,9
294,26.0,CartPole-v1,100000.0,0.0001,0.99,9
295,23.0,CartPole-v1,100000.0,0.0001,0.99,9
296,15.0,CartPole-v1,100000.0,0.0001,0.99,9
297,16.0,CartPole-v1,100000.0,0.0001,0.99,9
298,16.0,CartPole-v1,100000.0,0.0001,0.99,9
299,26.0,CartPole-v1,100000.0,0.0001,0.99,9
300,33.0,CartPole-v1,100000.0,0.0001,0.99,9
301,18.0,CartPole-v1,100000.0,0.0001,0.99,9
302,20.0,CartPole-v1,100000.0,0.0001,0.99,9
303,12.0,CartPole-v1,100000.0,0.0001,0.99,9
304,12.0,CartPole-v1,100000.0,0.0001,0.99,9
305,15.0,CartPole-v1,100000.0,0.0001,0.99,9
306,24.0,CartPole-v1,100000.0,0.0001,0.99,9
307,14.0,CartPole-v1,100000.0,0.0001,0.99,9
308,34.0,CartPole-v1,100000.0,0.0001,0.99,9
309,16.0,CartPole-v1,100000.0,0.0001,0.99,9
310,9.0,CartPole-v1,100000.0,0.0001,0.99,9
311,20.0,CartPole-v1,100000.0,0.0001,0.99,9
312,39.0,CartPole-v1,100000.0,0.0001,0.99,9
313,33.0,CartPole-v1,100000.0,0.0001,0.99,9
314,26.0,CartPole-v1,100000.0,0.0001,0.99,9
315,23.0,CartPole-v1,100000.0,0.0001,0.99,9
316,17.0,CartPole-v1,100000.0,0.0001,0.99,9
317,10.0,CartPole-v1,100000.0,0.0001,0.99,9
318,20.0,CartPole-v1,100000.0,0.0001,0.99,9
319,14.0,CartPole-v1,100000.0,0.0001,0.99,9
320,79.0,CartPole-v1,100000.0,0.0001,0.99,9
321,14.0,CartPole-v1,100000.0,0.0001,0.99,9
322,16.0,CartPole-v1,100000.0,0.0001,0.99,9
323,17.0,CartPole-v1,100000.0,0.0001,0.99,9
324,29.0,CartPole-v1,100000.0,0.0001,0.99,9
325,15.0,CartPole-v1,100000.0,0.0001,0.99,9
326,13.0,CartPole-v1,100000.0,0.0001,0.99,9
327,26.0,CartPole-v1,100000.0,0.0001,0.99,9
328,13.0,CartPole-v1,100000.0,0.0001,0.99,9
329,13.0,CartPole-v1,100000.0,0.0001,0.99,9
330,18.0,CartPole-v1,100000.0,0.0001,0.99,9
331,10.0,CartPole-v1,100000.0,0.0001,0.99,9
332,18.0,CartPole-v1,100000.0,0.0001,0.99,9
333,29.0,CartPole-v1,100000.0,0.0001,0.99,9
334,24.0,CartPole-v1,100000.0,0.0001,0.99,9
335,34.0,CartPole-v1,100000.0,0.0001,0.99,9
336,10.0,CartPole-v1,100000.0,0.0001,0.99,9
337,14.0,CartPole-v1,100000.0,0.0001,0.99,9
338,16.0,CartPole-v1,100000.0,0.0001,0.99,9
339,20.0,CartPole-v1,100000.0,0.0001,0.99,9
340,14.0,CartPole-v1,100000.0,0.0001,0.99,9
341,29.0,CartPole-v1,100000.0,0.0001,0.99,9
342,18.0,CartPole-v1,100000.0,0.0001,0.99,9
343,14.0,CartPole-v1,100000.0,0.0001,0.99,9
344,18.0,CartPole-v1,100000.0,0.0001,0.99,9
345,13.0,CartPole-v1,100000.0,0.0001,0.99,9
346,9.0,CartPole-v1,100000.0,0.0001,0.99,9
347,17.0,CartPole-v1,100000.0,0.0001,0.99,9
348,15.0,CartPole-v1,100000.0,0.0001,0.99,9
349,22.0,CartPole-v1,100000.0,0.0001,0.99,9
350,23.0,CartPole-v1,100000.0,0.0001,0.99,9
351,15.0,CartPole-v1,100000.0,0.0001,0.99,9
352,55.0,CartPole-v1,100000.0,0.0001,0.99,9
353,10.0,CartPole-v1,100000.0,0.0001,0.99,9
354,32.0,CartPole-v1,100000.0,0.0001,0.99,9
355,11.0,CartPole-v1,100000.0,0.0001,0.99,9
356,35.0,CartPole-v1,100000.0,0.0001,0.99,9
357,13.0,CartPole-v1,100000.0,0.0001,0.99,9
358,15.0,CartPole-v1,100000.0,0.0001,0.99,9
359,29.0,CartPole-v1,100000.0,0.0001,0.99,9
360,22.0,CartPole-v1,100000.0,0.0001,0.99,9
361,13.0,CartPole-v1,100000.0,0.0001,0.99,9
362,14.0,CartPole-v1,100000.0,0.0001,0.99,9
363,56.0,CartPole-v1,100000.0,0.0001,0.99,9
364,33.0,CartPole-v1,100000.0,0.0001,0.99,9
365,12.0,CartPole-v1,100000.0,0.0001,0.99,9
366,12.0,CartPole-v1,100000.0,0.0001,0.99,9
367,21.0,CartPole-v1,100000.0,0.0001,0.99,9
368,21.0,CartPole-v1,100000.0,0.0001,0.99,9
369,27.0,CartPole-v1,100000.0,0.0001,0.99,9
370,19.0,CartPole-v1,100000.0,0.0001,0.99,9
371,11.0,CartPole-v1,100000.0,0.0001,0.99,9
372,12.0,CartPole-v1,100000.0,0.0001,0.99,9
373,11.0,CartPole-v1,100000.0,0.0001,0.99,9
374,11.0,CartPole-v1,100000.0,0.0001,0.99,9
375,16.0,CartPole-v1,100000.0,0.0001,0.99,9
376,70.0,CartPole-v1,100000.0,0.0001,0.99,9
377,20.0,CartPole-v1,100000.0,0.0001,0.99,9
378,10.0,CartPole-v1,100000.0,0.0001,0.99,9
379,38.0,CartPole-v1,100000.0,0.0001,0.99,9
380,11.0,CartPole-v1,100000.0,0.0001,0.99,9
381,29.0,CartPole-v1,100000.0,0.0001,0.99,9
382,29.0,CartPole-v1,100000.0,0.0001,0.99,9
383,27.0,CartPole-v1,100000.0,0.0001,0.99,9
384,28.0,CartPole-v1,100000.0,0.0001,0.99,9
385,13.0,CartPole-v1,100000.0,0.0001,0.99,9
386,29.0,CartPole-v1,100000.0,0.0001,0.99,9
387,15.0,CartPole-v1,100000.0,0.0001,0.99,9
388,42.0,CartPole-v1,100000.0,0.0001,0.99,9
389,15.0,CartPole-v1,100000.0,0.0001,0.99,9
390,9.0,CartPole-v1,100000.0,0.0001,0.99,9
391,9.0,CartPole-v1,100000.0,0.0001,0.99,9
392,24.0,CartPole-v1,100000.0,0.0001,0.99,9
393,14.0,CartPole-v1,100000.0,0.0001,0.99,9
394,29.0,CartPole-v1,100000.0,0.0001,0.99,9
395,10.0,CartPole-v1,100000.0,0.0001,0.99,9
396,30.0,CartPole-v1,100000.0,0.0001,0.99,9
397,15.0,CartPole-v1,100000.0,0.0001,0.99,9
398,20.0,CartPole-v1,100000.0,0.0001,0.99,9
399,34.0,CartPole-v1,100000.0,0.0001,0.99,9
400,11.0,CartPole-v1,100000.0,0.0001,0.99,9
401,15.0,CartPole-v1,100000.0,0.0001,0.99,9
402,13.0,CartPole-v1,100000.0,0.0001,0.99,9
403,13.0,CartPole-v1,100000.0,0.0001,0.99,9
404,22.0,CartPole-v1,100000.0,0.0001,0.99,9
405,19.0,CartPole-v1,100000.0,0.0001,0.99,9
406,22.0,CartPole-v1,100000.0,0.0001,0.99,9
407,40.0,CartPole-v1,100000.0,0.0001,0.99,9
408,13.0,CartPole-v1,100000.0,0.0001,0.99,9
409,14.0,CartPole-v1,100000.0,0.0001,0.99,9
410,16.0,CartPole-v1,100000.0,0.0001,0.99,9
411,19.0,CartPole-v1,100000.0,0.0001,0.99,9
412,11.0,CartPole-v1,100000.0,0.0001,0.99,9
413,50.0,CartPole-v1,100000.0,0.0001,0.99,9
414,22.0,CartPole-v1,100000.0,0.0001,0.99,9
415,10.0,CartPole-v1,100000.0,0.0001,0.99,9
416,38.0,CartPole-v1,100000.0,0.0001,0.99,9
417,91.0,CartPole-v1,100000.0,0.0001,0.99,9
418,29.0,CartPole-v1,100000.0,0.0001,0.99,9
419,20.0,CartPole-v1,100000.0,0.0001,0.99,9
