Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Seed
110,20.0,CartPole-v1,100000.0,0.001,0.99,5
111,13.0,CartPole-v1,100000.0,0.001,0.99,5
112,15.0,CartPole-v1,100000.0,0.001,0.99,5
113,24.0,CartPole-v1,100000.0,0.001,0.99,5
114,26.0,CartPole-v1,100000.0,0.001,0.99,5
115,18.0,CartPole-v1,100000.0,0.001,0.99,5
116,16.0,CartPole-v1,100000.0,0.001,0.99,5
117,15.0,CartPole-v1,100000.0,0.001,0.99,5
118,58.0,CartPole-v1,100000.0,0.001,0.99,5
119,18.0,CartPole-v1,100000.0,0.001,0.99,5
120,15.0,CartPole-v1,100000.0,0.001,0.99,5
121,13.0,CartPole-v1,100000.0,0.001,0.99,5
122,13.0,CartPole-v1,100000.0,0.001,0.99,5
123,18.0,CartPole-v1,100000.0,0.001,0.99,5
124,18.0,CartPole-v1,100000.0,0.001,0.99,5
125,31.0,CartPole-v1,100000.0,0.001,0.99,5
126,20.0,CartPole-v1,100000.0,0.001,0.99,5
127,13.0,CartPole-v1,100000.0,0.001,0.99,5
128,22.0,CartPole-v1,100000.0,0.001,0.99,5
129,17.0,CartPole-v1,100000.0,0.001,0.99,5
130,11.0,CartPole-v1,100000.0,0.001,0.99,5
131,9.0,CartPole-v1,100000.0,0.001,0.99,5
132,37.0,CartPole-v1,100000.0,0.001,0.99,5
133,39.0,CartPole-v1,100000.0,0.001,0.99,5
134,17.0,CartPole-v1,100000.0,0.001,0.99,5
135,13.0,CartPole-v1,100000.0,0.001,0.99,5
136,24.0,CartPole-v1,100000.0,0.001,0.99,5
137,29.0,CartPole-v1,100000.0,0.001,0.99,5
138,12.0,CartPole-v1,100000.0,0.001,0.99,5
139,24.0,CartPole-v1,100000.0,0.001,0.99,5
140,33.0,CartPole-v1,100000.0,0.001,0.99,5
141,61.0,CartPole-v1,100000.0,0.001,0.99,5
142,20.0,CartPole-v1,100000.0,0.001,0.99,5
143,13.0,CartPole-v1,100000.0,0.001,0.99,5
144,25.0,CartPole-v1,100000.0,0.001,0.99,5
145,29.0,CartPole-v1,100000.0,0.001,0.99,5
146,19.0,CartPole-v1,100000.0,0.001,0.99,5
147,12.0,CartPole-v1,100000.0,0.001,0.99,5
148,12.0,CartPole-v1,100000.0,0.001,0.99,5
149,30.0,CartPole-v1,100000.0,0.001,0.99,5
150,19.0,CartPole-v1,100000.0,0.001,0.99,5
151,19.0,CartPole-v1,100000.0,0.001,0.99,5
152,17.0,CartPole-v1,100000.0,0.001,0.99,5
153,16.0,CartPole-v1,100000.0,0.001,0.99,5
154,21.0,CartPole-v1,100000.0,0.001,0.99,5
155,16.0,CartPole-v1,100000.0,0.001,0.99,5
156,40.0,CartPole-v1,100000.0,0.001,0.99,5
157,20.0,CartPole-v1,100000.0,0.001,0.99,5
158,23.0,CartPole-v1,100000.0,0.001,0.99,5
159,16.0,CartPole-v1,100000.0,0.001,0.99,5
160,15.0,CartPole-v1,100000.0,0.001,0.99,5
161,16.0,CartPole-v1,100000.0,0.001,0.99,5
